id,title,verdict,reason,has_photo,step_count,ingredient_count
canada-apple-berry-crisp,Apple berry crisp,keep,,1,4,11
canada-apple-nachos-peanut-butter-caramel-sauce,Apple nachos with peanut butter caramel sauce,keep,,1,8,10
canada-apple-pie-breakfast-bowl,Apple pie breakfast bowl,keep,,1,4,9
canada-apple-pie-oatmeal,Apple pie oatmeal,keep,,1,2,8
canada-baked-blueberry-banana-oatmeal,Baked blueberry and banana oatmeal,keep,,1,4,9
canada-baked-cheese-stratas,Baked cheese stratas,keep,,1,4,9
canada-baked-fish-chips,Baked fish and chips,keep,,1,11,15
canada-banana-walnut-loaf,Banana walnut loaf,keep,,1,6,11
canada-beef-bean-burger,Beef and bean burger,keep,,1,5,10
canada-beef-fajitas-lime-sour-cream,Beef fajitas with lime sour cream,keep,,1,4,12
canada-berry-brunch-bake,Berry brunch bake,keep,,1,6,10
canada-black-bean-corn-salad,Black bean and corn salad,keep,,1,2,11
canada-black-bean-enchiladas,Black bean enchiladas,keep,,1,12,20
canada-blueberry-cornmeal-muffins,Blueberry cornmeal muffins,keep,,1,6,13
canada-braised-lentils-greens,Braised lentils with greens,keep,,1,3,6
canada-cajun-lentil-soup,Cajun lentil soup,keep,,1,3,10
canada-cantaloupe-bocconcini-cheese-salad,Cantaloupe and bocconcini cheese salad,keep,,1,3,11
canada-caprese-muffin-tin-frittatas,Caprese muffin-tin frittatas,keep,,1,5,7
canada-carrot-ginger-lentil-soup,Carrot ginger lentil soup,keep,,1,5,9
canada-carrot-potato-pancakes,Carrot potato pancakes,keep,,1,2,6
canada-cauliflower-bean-dip,Cauliflower and bean dip,keep,,1,5,8
canada-cheesy-broccoli-toast,Cheesy broccoli toast,keep,,1,4,6
canada-chicken-bean-quesadillas,Chicken and bean quesadillas,keep,,1,6,14
canada-chicken-lima-bean-stew,Chicken and lima bean stew,keep,,1,6,15
canada-chicken-spring-vegetable-soup,Chicken and spring vegetable soup,keep,,1,5,11
canada-chickpea-meatballs-gnocchi-bake,Chickpea “meatballs” and gnocchi bake,keep,,1,9,16
canada-chocolate-berry-overnight-oats,Chocolate berry overnight oats,keep,,1,3,7
canada-classic-overnight-oats,Classic overnight oats,keep,,1,2,5
canada-classic-poached-eggs,Classic poached eggs,keep,,1,4,4
canada-cobb-salad-ranch-dressing,Cobb salad and ranch dressing,keep,,1,7,21
