id,title,verdict,reason,has_photo,is_historic,step_count,ingredient_count,abv_present,glass_present
cck_000779fd6a423b38d39e43,Greek wine,FIX,abv_missing;no_image_modern,0,0,3,1,0,1
cck_0010fd1f7af13f8801e73e,Bonanza Punch,KEEP,,0,1,6,4,1,1
cck_0029e212d662d32e075c23,Blue Blazer,KEEP,,1,1,10,7,1,1
cck_00380dc7e782f242bb111c,Agua de Valencia,FIX,abv_missing;glass_type_field_missing,1,0,4,4,0,1
cck_00507a15ed336d155c031e,Bénédictine glacée,KEEP,,0,1,1,1,1,1
cck_0054da407e7cb62ac0b8b4,Pompier High Ball,KEEP,,0,1,4,0,1,1
cck_005d65f9e53fc789221415,Tea Punch,KEEP,,0,1,6,3,1,1
cck_007af519029056fe8b34ac,Painkiller (cocktail),FIX,vague_one_sentence;abv_missing;no_image_modern,0,0,1,5,0,1
cck_0091e8400563ec5f11f7ac,Fitzgerald,KEEP,,0,0,3,4,1,1
cck_0095ba70a5e573085388e1,Amer Picon,KEEP,,0,1,3,2,1,1
cck_00a870359c4121cce006cd,Ti' Punch,KEEP,,0,0,3,3,1,1
cck_00a89718002167a902fa97,Bachelor's Rose,FIX,abv_missing;glass_type_field_missing,1,1,2,0,0,1
cck_00ba1f0fb8d38eb4b9bd79,Egg Nogg,KEEP,,0,1,3,3,1,1
cck_00bc47c39328bbf893f4c8,Breakfast martini,KEEP,,1,0,2,1,0,1
cck_00c0c8d9b7427b236bcefd,Sherry Cobbler,FIX,abv_missing;glass_type_field_missing,1,1,1,0,0,1
cck_00d67b41f3a969e429f8e2,Zombie (Modern Spec),KEEP,,0,0,3,9,1,1
cck_00dcdb69b20b4465b685dd,Creamsicle (cocktail),KEEP,,0,0,2,5,1,1
cck_00e7f1091f403c95171334,Malaga (wine),FIX,abv_missing;no_image_modern,0,0,3,1,0,1
cck_00ee4fc66650028d7376f3,The Laverstoke,KEEP,,1,0,4,7,1,1
cck_00f0953723c3ddcd802f75,Rhine- Wine Punch,KEEP,,0,1,2,1,1,1
cck_00fb29ad0db4deafda6abe,Mr. Bali Hai,KEEP,,0,0,4,6,1,1
cck_011e65153cff7c3e793d04,Zazarac Cocktail,KEEP,,0,1,9,0,1,1
cck_01462482d359604688ce0c,Sherry and Bitters,KEEP,,1,1,1,0,1,1
cck_0156c324bf518531b15095,Moscow Mule,KEEP,,1,0,4,3,1,1
cck_015a91978def4adb8ed1c5,Harvey Wallbanger (cocktail),KEEP,,0,0,2,3,1,1
cck_01a39c543ecab0495d1151,Gin High Ball,KEEP,,0,1,4,0,1,1
cck_01acba1641f2a54c094bc0,Pisco Inferno,KEEP,,0,0,4,5,1,1
cck_01b8753c7c4bb46dad9945,Caribbean Orange Liqueur,KEEP,,1,0,9,3,0,1
