id,title,verdict,reason,has_photo,step_count,ingredient_count,has_alcohol_ingredient
14858329027b266d602eb5f0,Oyster Cocktail,fix,no photo,false,2,4,false
34b2bd280ce17ab7970b9bdb,Soda Lemonade,fix,no glass/serving suggestion; no photo,false,1,1,false
513e1a94c5216090939eaa5b,Cider Nectar,delete,alcohol in mocktail — should be cocktail,false,2,4,true
5b083b7b1402f49a4f2b744e,Macedoine No. 3,fix,no glass/serving suggestion; no photo,false,1,3,false
5c4ca701e19d774a205e9f86,Hot Beef-Tea,delete,alcohol in mocktail — should be cocktail,false,1,2,true
6d1657425ebd0b6d93ae194b,Raspberry Cream Frappe,delete,alcohol in mocktail — should be cocktail,false,5,3,true
6d8f7625b302ac79bb641f57,Cafe Royal Frappe,delete,alcohol in mocktail — should be cocktail,false,1,2,true
6de09e9326ebf78927abcc05,Macedoine No. 2,fix,no glass/serving suggestion; no photo,false,1,3,false
6ff67813dd73bc33fcba88e6,Orangeade,fix,no photo,false,2,1,false
816f2f716f4a9c7d23f57dd2,Hot Lemonade,fix,no glass/serving suggestion; no photo,false,1,2,false
869dd09d87e88c0991178006,Clam Cocktail,fix,no photo,false,1,3,false
8daa7043b093c35cc514d1fe,Phosphate Lemonade,fix,no photo,false,2,2,false
9502b773dc15696d74ee2666,Macedoine No. 1,fix,no glass/serving suggestion; no photo,false,2,2,false
a272090e2688d480dbf0a6ad,Plain Lemonade,fix,no photo,false,1,1,false
a69269b8200798e0272be251,Grenadine Lemonade,fix,no glass/serving suggestion; no photo,false,2,1,false
a6b0e788ec43e99e1ae4263b,Frappe Beef-Tea,delete,alcohol in mocktail — should be cocktail,false,2,2,true
cck_0155e7fcf2417a661822fe,Strawberry Shivers,keep,,true,2,3,false
cck_0397dfb50dbba3c734aca9,Pineapple Juice,fix,no photo,false,7,2,false
cck_05a0d20b9d3bc91cf155b4,Lemon Sharbat,fix,no glass/serving suggestion; no photo,false,7,6,false
cck_0630598867842f511b2566,Egg-Nog - Classic Cooked,delete,alcohol in mocktail — should be cocktail,true,10,5,true
cck_06d5114b0ad15aa1ce357f,Adoyo (Nigerian Ogi Beverage),fix,no glass/serving suggestion; no photo,false,5,5,false
cck_07ab63e9e41e914f9d6a62,Avocado Coconut Smoothie,fix,no glass/serving suggestion; no photo,false,2,5,false
cck_07d045c0efa18a96d6d631,Apollinaris' Lemonade,delete,no ingredients,false,6,0,false
cck_097069a2b6e15d861837dd,Banana Milkshake,fix,no glass/serving suggestion; no photo,false,10,5,false
cck_0c21b79aef80ca245f03c9,Amaretto sour,fix,instructions too brief; no glass/serving suggestion,true,1,1,false
cck_101553ffa8f3705d125dcd,Habet Hlawa (Algerian Anise Beverage),fix,no glass/serving suggestion; no photo,false,11,3,false
cck_10f19cc914ee226307d69c,Thobwa la Mtedza (Malawian Sesame Seed Drink),fix,no glass/serving suggestion; no photo,false,9,4,false
cck_124c17208f165d908df3f1,Easy Orange Smoothie,fix,no glass/serving suggestion; no photo,false,6,6,false
cck_13222504fcf4b9b78ec415,Blackstone Nectar,delete,ingredients all undefined/junk,false,6,3,false
cck_1374e9e77e04a090ebb5ea,Blackberry Sherbet,fix,no glass/serving suggestion; no photo,false,3,3,false
cck_150da05adafb643e2d2420,Plain Lemonade,fix,no glass/serving suggestion; no photo,false,2,1,false
cck_16fe84b604f47012ecfb4d,Clam Cocktail,fix,no photo,false,1,3,false
cck_17c7ed0ecf082e352c1c91,Q.B. Cooler,delete,alcohol in mocktail — should be cocktail,false,4,3,true
