id,title,verdict,reason,has_photo,step_count,ingredient_count
tmdb-52764-garides-saganaki,Garides Saganaki,keep,,1,5,8
tmdb-52765-chicken-enchilada-casserole,Chicken Enchilada Casserole,keep,,1,6,4
tmdb-52767-bakewell-tart,Bakewell tart,keep,,1,7,10
tmdb-52768-apple-frangipan-tart,Apple Frangipan Tart,keep,,1,7,9
tmdb-52769-kapsalon,Kapsalon,keep,,1,6,8
tmdb-52770-spaghetti-bolognese,Spaghetti Bolognese,keep,,1,3,12
tmdb-52771-spicy-arrabiata-penne,Spicy Arrabiata Penne,keep,,1,3,8
tmdb-52772-teriyaki-chicken-casserole,Teriyaki Chicken Casserole,keep,,1,6,9
tmdb-52773-honey-teriyaki-salmon,Honey Teriyaki Salmon,keep,,1,3,5
tmdb-52774-pad-see-ew,Pad See Ew,keep,,1,4,12
tmdb-52775-vegan-lasagna,Vegan Lasagna,keep,,1,6,12
tmdb-52776-chocolate-gateau,Chocolate Gateau,keep,,1,4,6
tmdb-52777-mediterranean-pasta-salad,Mediterranean Pasta Salad,keep,,1,8,9
tmdb-52779-cream-cheese-tart,Cream Cheese Tart,keep,,1,10,12
tmdb-52780-potato-gratin-with-chicken,Potato Gratin with Chicken,keep,,1,5,10
tmdb-52781-irish-stew,Irish stew,keep,,1,6,13
tmdb-52782-lamb-tomato-and-sweet-spices,Lamb tomato and sweet spices,keep,,1,7,19
tmdb-52783-rigatoni-with-fennel-sausage-sauce,Rigatoni with fennel sausage sauce,keep,,1,4,17
tmdb-52784-smoky-lentil-chili-with-squash,Smoky Lentil Chili with Squash,keep,,1,4,19
tmdb-52785-dal-fry,Dal fry,keep,,1,7,16
tmdb-52786-rocky-road-fudge,Rocky Road Fudge,keep,,1,10,5
tmdb-52787-hot-chocolate-fudge,Hot Chocolate Fudge,keep,,1,10,6
tmdb-52788-christmas-pudding-flapjack,Christmas Pudding Flapjack,keep,,1,3,6
tmdb-52791-eton-mess,Eton Mess,fix,no heat step (assumed mix-and-serve),1,3,5
tmdb-52792-bread-and-butter-pudding,Bread and Butter Pudding,keep,,1,9,9
tmdb-52793-sticky-toffee-pudding-ultimate,Sticky Toffee Pudding Ultimate,keep,,1,5,15
tmdb-52794-vegan-chocolate-cake,Vegan Chocolate Cake,keep,,1,3,8
tmdb-52795-chicken-handi,Chicken Handi,keep,,1,9,16
tmdb-52796-chicken-alfredo-primavera,Chicken Alfredo Primavera,keep,,1,20,19
tmdb-52797-spicy-north-african-potato-salad,Spicy North African Potato Salad,keep,,1,8,11
tmdb-52802-fish-pie,Fish pie,keep,,1,5,15
tmdb-52803-beef-wellington,Beef Wellington,keep,,1,6,8
tmdb-52804-poutine,Poutine,keep,,1,6,4
tmdb-52805-lamb-biryani,Lamb Biryani,keep,,1,11,20
tmdb-52806-tandoori-chicken,Tandoori chicken,keep,,1,3,12
tmdb-52807-baingan-bharta,Baingan Bharta,keep,,1,17,9
tmdb-52808-lamb-rogan-josh,Lamb Rogan josh,keep,,1,3,14
tmdb-52809-recheado-masala-fish,Recheado Masala Fish,keep,,1,6,14
tmdb-52810-osso-buco-alla-milanese,Osso Buco alla Milanese,keep,,1,12,18
tmdb-52811-ribollita,Ribollita,keep,,1,4,14
tmdb-52812-beef-brisket-pot-roast,Beef Brisket Pot Roast,keep,,1,2,11
tmdb-52813-kentucky-fried-chicken,Kentucky Fried Chicken,keep,,1,6,17
tmdb-52814-thai-green-curry,Thai Green Curry,keep,,1,4,12
tmdb-52815-french-lentils-with-garlic-and-thyme,French Lentils With Garlic and Thyme,keep,,1,4,9
tmdb-52816-roasted-eggplant-with-tahini-pine-nuts-and-lentils,"Roasted Eggplant With Tahini, Pine Nuts, and Lentils",keep,,1,3,15
tmdb-52817-stovetop-eggplant-with-harissa-chickpeas-and-cumin-yogurt,"Stovetop Eggplant With Harissa, Chickpeas, and Cumin Yogurt",keep,,1,3,8
tmdb-52818-chicken-fajita-mac-and-cheese,Chicken Fajita Mac and Cheese,keep,,1,4,12
tmdb-52819-cajun-spiced-fish-tacos,Cajun spiced fish tacos,keep,,1,4,12
tmdb-52820-katsu-chicken-curry,Katsu Chicken curry,keep,,1,2,16
tmdb-52821-laksa-king-prawn-noodles,Laksa King Prawn Noodles,keep,,1,3,10
tmdb-52822-toad-in-the-hole,Toad In The Hole,keep,,1,4,7
tmdb-52823-salmon-prawn-risotto,Salmon Prawn Risotto,keep,,1,7,11
tmdb-52824-beef-sunday-roast,Beef Sunday Roast,keep,,1,4,8
tmdb-52826-braised-beef-chilli,Braised Beef Chilli,keep,,1,5,17
tmdb-52827-massaman-beef-curry,Massaman Beef curry,keep,,1,3,13
tmdb-52828-vietnamese-grilled-pork-bun-thit-nuong,Vietnamese Grilled Pork (bun-thit-nuong),keep,,1,5,13
tmdb-52829-grilled-mac-and-cheese-sandwich,Grilled Mac and Cheese Sandwich,keep,,1,13,17
tmdb-52830-crock-pot-chicken-baked-tacos,Crock Pot Chicken Baked Tacos,keep,,1,12,14
tmdb-52831-chicken-karaage,Chicken Karaage,keep,,1,4,9
tmdb-52832-coq-au-vin,Coq au vin,keep,,1,6,18
tmdb-52833-salted-caramel-cheescake,Salted Caramel Cheescake,keep,,1,4,12
tmdb-52834-beef-stroganoff,Beef stroganoff,keep,,1,2,11
tmdb-52835-fettucine-alfredo,Fettucine alfredo,keep,,1,4,7
tmdb-52836-seafood-fideu,Seafood fideuà,keep,,1,5,14
tmdb-52837-pilchard-puttanesca,Pilchard puttanesca,keep,,1,2,9
tmdb-52838-venetian-duck-ragu,Venetian Duck Ragu,keep,,1,3,15
tmdb-52839-chilli-prawn-linguine,Chilli prawn linguine,keep,,1,5,13
tmdb-52840-clam-chowder,Clam chowder,keep,,1,3,11
tmdb-52841-creamy-tomato-soup,Creamy Tomato Soup,keep,,1,3,13
tmdb-52842-broccoli-stilton-soup,Broccoli & Stilton soup,keep,,1,4,9
tmdb-52843-lamb-tagine,Lamb Tagine,keep,,1,4,15
tmdb-52844-lasagne,Lasagne,keep,,1,5,15
tmdb-52845-turkey-meatloaf,Turkey Meatloaf,keep,,1,4,11
