id,title,verdict,reason,has_photo,step_count,ingredient_count,suspect_ingredient_names
hf-1039850-cranberry-oatmeal-and-yogurt-muffins,Cranberry Oatmeal And Yogurt Muffins,keep,ok,0,8,10,
hf-1039877-slow-cooker-meatloaf,Slow Cooker Meatloaf,keep,ok,0,7,10,
hf-1040231-gluten-free-pumpkin-applesauce-bundt-cake,Gluten-Free Pumpkin-Applesauce Bundt Cake,keep,ok,0,6,10,
hf-1040298-julia-s-lasagna,Julia'S Lasagna,fix,missing-cuisine-italian,0,7,10,
hf-1040331-veal-cutlets-breaded,"Veal Cutlets, Breaded",keep,ok,0,5,10,
hf-1040333-cream-cheese-pumpkin-slices,Cream Cheese Pumpkin Slices,keep,ok,0,5,10,
hf-1040431-risky-biscuits,Risky Biscuits,keep,ok,0,6,10,
hf-1040456-lemon-cranberry-muffins,Lemon Cranberry Muffins,keep,ok,0,7,10,
hf-1040652-healthy-peanut-butter-banana-oatmeal-bars,Healthy Peanut Butter Banana Oatmeal Bars,keep,ok,0,5,10,
hf-1040730-vegan-cinnamon-coffee-cake,Vegan Cinnamon Coffee Cake,keep,ok,0,7,10,
hf-10409-chicken-jerusalem,Chicken Jerusalem,keep,ok,0,5,10,
hf-1040919-cast-iron-skillet-upside-down-cake,Cast Iron Skillet Upside Down Cake,keep,ok,0,6,10,
hf-1040934-curried-couscous,Curried Couscous,keep,ok,0,5,10,
hf-1040973-ground-chicken-meatballs,Ground Chicken Meatballs,keep,ok,0,7,10,
hf-1040981-egg-free-chocolate-chip-banana-bread,Egg-Free Chocolate Chip Banana Bread,keep,ok,0,7,10,
hf-1040991-cauliflower-cheese-lasagna,Cauliflower Cheese Lasagna,fix,missing-cuisine-italian,0,6,10,
hf-1041073-western-trail-beef-and-macaroni,Western Trail Beef And Macaroni,keep,ok,0,4,10,
hf-1041405-baked-spaghetti-with-ground-turkey-meat,Baked Spaghetti With Ground Turkey Meat,fix,missing-cuisine-italian,0,7,10,
hf-104145-corned-beef-and-cabbage-salad,Corned Beef And Cabbage Salad,keep,ok,0,7,9,
hf-1041481-malted-chocolate-chip-cookies,Malted Chocolate Chip Cookies,keep,ok,0,8,10,
hf-1041482-healthy-salad,Healthy Salad,keep,ok,0,4,10,
hf-1041543-grilled-salmon-salad-with-orange-basil-vinaigrette,Grilled Salmon Salad With Orange-Basil Vinaigrette,keep,ok,0,4,10,
hf-1041548-apple-butter-bread,Apple Butter Bread,keep,ok,0,6,10,
hf-1041623-char-sui,Char Sui,keep,ok,0,7,10,
hf-1041662-spinach-and-feta-stuffed-chicken-breasts,Spinach And Feta Stuffed Chicken Breasts,keep,ok,0,6,10,
hf-1041677-pork-chops-with-apples-and-swiss,Pork Chops With Apples And Swiss,keep,ok,0,4,10,
hf-1041683-hunt-s-barbecued-pork-chops,Hunt'S Barbecued Pork Chops,keep,ok,0,5,10,
hf-1041688-cornmeal-pancakes-using-yogurt,Cornmeal Pancakes Using Yogurt,keep,ok,0,5,10,
hf-1041701-cajun-turkey-meatloaf,Cajun Turkey Meatloaf,keep,ok,0,8,10,
hf-104172-my-mama-s-pecan-pie,My Mama'S Pecan Pie,keep,ok,0,4,10,
hf-1041881-cajun-meatballs,Cajun Meatballs,keep,ok,0,6,10,
hf-1042186-greek-meatloaf-with-feta,Greek Meatloaf With Feta,keep,ok,0,6,10,
hf-1042188-cherry-almond-mini-scones-vegan,Cherry Almond Mini Scones (Vegan),keep,ok,0,5,10,
hf-1042306-chocolate-chip-pecan-cookies,Chocolate Chip Pecan Cookies,keep,ok,0,6,10,
hf-1042381-cheri-s-cherry-bing-candy,Cheri'S Cherry Bing Candy,keep,ok,0,7,10,
hf-1042420-cranberry-pecan-oat-cookies,Cranberry Pecan Oat Cookies,keep,ok,0,7,10,
hf-1042466-chocolate-cake-dairy-free,Chocolate Cake - Dairy Free,keep,ok,0,6,10,
hf-1042624-applesauce-drop-cookies,Applesauce Drop Cookies,keep,ok,0,7,10,
hf-1042812-southern-turkey-stuffing-bake,Southern Turkey-Stuffing Bake,keep,ok,0,6,10,
hf-1042841-dr-pepper-chicken,Dr. Pepper Chicken,keep,ok,0,4,10,
hf-104296-grandma-s-molasses-drop-cookies,Grandma'S Molasses Drop Cookies,keep,ok,0,4,10,
hf-1043010-grilled-veggie-sandwich,Grilled Veggie Sandwich,fix,range-parser-bug,0,5,10,-2 cup feta cheese [range-bug]
hf-1043039-grilled-asian-chicken,Grilled Asian Chicken,keep,ok,0,7,10,
hf-1043109-olive-garden-italian-apple-torte,Olive Garden Italian Apple Torte,keep,ok,0,4,10,
hf-1043339-egg-nog-cake,Egg Nog Cake,keep,ok,0,6,10,
hf-1043342-arugula-ricotta-calzones,Arugula & Ricotta Calzones,keep,ok,0,6,10,
hf-1043392-chard-ricotta-pie,Chard & Ricotta Pie,keep,ok,0,5,10,
hf-1043462-peach-rice-pudding,Peach Rice Pudding,keep,ok,0,4,10,
hf-104368-six-week-muffins,Six-Week Muffins,keep,ok,0,7,10,
hf-1043795-vegan-white-cake-cupcakes,Vegan White Cake Cupcakes,keep,ok,0,6,10,
hf-1043810-creamy-potato-mushroom-soup,Creamy Potato-Mushroom Soup,fix,range-parser-bug,0,8,10,"-2 garlic clove, minced (adjust to your taste) [range-bug]"
hf-1043815-ecuadorian-spiced-potato-cakes,Ecuadorian Spiced Potato Cakes,keep,ok,0,5,10,
hf-104388-shrimp-with-orzo-and-broccoli,Shrimp With Orzo And Broccoli,keep,ok,0,8,9,
hf-1043923-rum-balls,Rum Balls,keep,ok,0,5,10,
