id,title,verdict,reason,has_photo,step_count,ingredient_count,suspect_ingredient_names
hf-1100337-banana-cream-muffins,Banana Cream Muffins,fix,missing photo,0,8,10,
hf-1100473-boston-market-style-turkey-meatloaf,Boston Market Style Turkey Meatloaf,fix,missing photo,0,7,10,
hf-1100546-potato-pea-and-bacon-tortilla,"Potato, Pea And Bacon Tortilla",fix,missing photo; missing cuisine (looks mexican),0,4,10,
hf-1100633-fish-with-parsley-sauce,Fish With Parsley Sauce,fix,missing photo,0,7,10,
hf-1100713-coconut-scones-with-raspberry-or-cherry,Coconut Scones With Raspberry Or Cherry,fix,missing photo,0,4,10,
hf-1100732-raspberry-lemon-thumbprint-cookies,Raspberry Lemon Thumbprint Cookies,fix,missing photo,0,6,10,
hf-1100749-orange-date-nut-cake,Orange Date-Nut Cake,fix,missing photo,0,4,10,
hf-1100820-white-bean-soup-with-swiss-chard,White Bean Soup With Swiss Chard,fix,"range parser bug (1 ingredient(s) start with ""-N""); missing photo",0,4,10,"-3 carrots, peeled and finely chopped"
hf-1100941-zucchini-and-corn-casserole,Zucchini And Corn Casserole,fix,missing photo,0,5,10,
hf-1101-easy-chocolate-cake,Easy Chocolate Cake,fix,missing photo,0,7,10,
hf-1101193-asparagus-with-oyster-sauce,Asparagus With Oyster Sauce,fix,missing photo,0,6,10,
hf-1101235-ground-turkey-and-barley-casserole,Ground Turkey And Barley Casserole,fix,missing photo,0,5,10,
hf-110125-apple-orchard-cake,Apple Orchard Cake,fix,missing photo,0,5,10,
hf-110136-seven-up-pound-cake,Seven-Up Pound Cake,fix,missing photo,0,8,9,
hf-1101430-stuffed-green-bell-pepper-soup,Stuffed Green Bell Pepper Soup,fix,missing photo,0,4,10,
hf-110145-ham-soup,Ham Soup,fix,missing photo,0,8,10,
hf-110150-gourmet-cheese-cake,Gourmet Cheese Cake,fix,missing photo,0,5,10,
hf-1101503-hamburger-spanish-rice,Hamburger Spanish Rice,fix,missing photo,0,4,10,
hf-1101522-baily-s-irish-cream-brownie-pie,Baily'S Irish Cream Brownie Pie,fix,missing photo,0,8,10,
hf-1101532-homemade-sweet-buttermilk-cornbread,Homemade Sweet Buttermilk Cornbread,fix,missing photo,0,4,10,
hf-1101651-torta-caprese-al-limone,Torta Caprese Al Limone,fix,missing photo,0,6,10,
hf-1101738-the-best-soft-ginger-cookies,The Best Soft Ginger Cookies,fix,missing photo,0,7,10,
hf-1101890-vegan-chocolate-cake-for-everyone,Vegan Chocolate Cake For Everyone!,fix,missing photo,0,5,10,
hf-1101935-cranberry-sauce-bran-muffins,Cranberry Sauce Bran Muffins,fix,missing photo,0,5,10,
hf-1101982-wendy-s-chili-clone,Wendy'S Chili Clone,fix,missing photo,0,7,10,
hf-1102017-salmon-potato-patties,Salmon Potato Patties,fix,missing photo,0,8,10,
hf-1102099-tropical-fruit-muffins,Tropical Fruit Muffins,fix,missing photo,0,7,10,
hf-110215-western-mac,Western Mac,fix,missing photo,0,6,10,
hf-1102217-sweet-and-sour-ham-meatballs,Sweet And Sour Ham Meatballs,fix,missing photo,0,5,10,
hf-110231-chicken-cashew,Chicken Cashew,fix,missing photo,0,7,10,
hf-1102331-almond-pretzels,Almond Pretzels,fix,missing photo,0,8,10,
hf-1102434-tropical-chicken-breasts,Tropical Chicken Breasts,fix,missing photo,0,8,10,
hf-1102499-heirloom-sugar-cookies,Heirloom Sugar Cookies,fix,missing photo,0,6,10,
hf-1102571-crazy-crater-chocolate-marshmallow-moon-cake,Crazy Crater Chocolate Marshmallow Moon Cake,fix,missing photo,0,6,10,
hf-1102581-festal-golden-pumpkin-pie,Festal Golden Pumpkin Pie,fix,missing photo,0,8,10,
hf-1102650-oatmeal-bake,Oatmeal Bake,fix,missing photo,0,4,10,
hf-110267-baked-crab-cakes,Baked Crab Cakes,fix,missing photo,0,6,10,
hf-1102949-berry-cream-muffins,Berry Cream Muffins,fix,missing photo,0,5,10,
hf-1102971-dalmatian-cooked-stockfish-bakalar-na-lesho,Dalmatian Cooked Stockfish (Bakalar Na Lesho),fix,missing photo,0,8,10,
hf-1103149-minestrone-soup-zero-points-no-pasta-no-beans,Minestrone Soup- Zero Points...No Pasta....No Beans,fix,missing photo; missing cuisine (looks italian),0,4,10,
