id,title,verdict,reason,has_photo,step_count,ingredient_count,suspect_ingredient_names
hf-1158940-pineapple-right-side-up-snack-cake,Pineapple Right Side Up Snack Cake,keep,ok,0,8,10,
hf-1158958-tastefully-simple-snickers-cake,Tastefully Simple Snickers Cake,keep,ok,0,8,10,
hf-1158959-baked-seasoned-salmon,Baked Seasoned Salmon,keep,ok,0,5,10,
hf-1159004-mediterranean-burger,Mediterranean Burger,keep,ok,0,5,10,
hf-1159018-cheesy-muffins,Cheesy Muffins,keep,ok,0,8,10,
hf-1159115-roasted-corn-and-pepper-soup,Roasted Corn And Pepper Soup,keep,ok,0,5,10,
hf-1159116-honey-ginger-chicken,Honey-Ginger Chicken,keep,ok,0,7,10,
hf-1159275-vidalia-onion-cheesecake,Vidalia Onion Cheesecake,keep,ok,0,8,10,
hf-1159342-chicken-black-bean-chili,Chicken & Black Bean Chili,keep,ok,0,4,10,
hf-1159451-apple-cider-bread,Apple Cider Bread,keep,ok,0,5,10,
hf-1159606-tex-mex-chicken-melts,Tex-Mex Chicken Melts,keep,ok,0,4,10,
hf-1159608-spiced-apple-loaf,Spiced Apple Loaf,fix,range parser bug (-N prefix),0,8,10,-2 teaspoon ground cinnamon | -3 bramley cooking apples
hf-1159834-lemon-blueberry-yogurt-muffins,Lemon Blueberry Yogurt Muffins,keep,ok,0,5,10,
hf-1159922-glady-s-famous-cornbread,Glady'S Famous Cornbread,keep,ok,0,4,10,
hf-1159995-skillet-sizzled-buttermilk-cornbread,Skillet-Sizzled Buttermilk Cornbread,fix,range parser bug (-N prefix),0,4,10,-3 tablespoon sugar | -4 tablespoon butter
hf-1160081-chicken-zucchini-stir-fry,Chicken Zucchini Stir Fry,fix,missing cuisine (looks chinese),0,4,10,
hf-1160151-healthy-tatortot-casserole,Healthy Tatortot Casserole,keep,ok,0,5,10,
hf-1160215-creamed-eggs-over-buttermilk-biscuits,Creamed Eggs Over Buttermilk Biscuits,keep,ok,0,5,10,
hf-116023-cream-cheese-squares,Cream Cheese Squares,keep,ok,0,5,10,
hf-1160234-meatball-pie,Meatball Pie,keep,ok,0,8,10,
hf-1160257-wiener-schnitzel,Wiener Schnitzel,keep,ok,0,7,10,
hf-1160280-diabetic-cornbread-muffins,Diabetic Cornbread Muffins,keep,ok,0,5,10,
hf-1160309-oatmeal-and-apple-breakfast-muffins,Oatmeal And Apple Breakfast Muffins,keep,ok,0,6,10,
hf-1160356-salmon-and-spinach-pasta,Salmon And Spinach Pasta,fix,missing cuisine (looks italian),0,8,10,
hf-1160429-keto-chicken-vegetable-soup,Keto Chicken Vegetable Soup,keep,ok,0,5,10,
hf-1160458-three-potato-salad,Three Potato Salad,keep,ok,0,8,10,
hf-1160731-beef-short-ribs-with-mushrooms,Beef Short Ribs With Mushrooms,keep,ok,0,6,10,
hf-1160766-hearty-macaroni-and-beef,Hearty Macaroni And Beef,keep,ok,0,5,10,
hf-1160767-spicy-black-bean-soup-slow-cooker,Spicy Black Bean Soup (Slow Cooker),keep,ok,0,5,10,
hf-1160771-hoosier-pie,Hoosier Pie,keep,ok,0,5,10,
hf-1160814-apple-pumpkin-muffins,Apple Pumpkin Muffins,keep,ok,0,6,10,
hf-1160836-swirled-pumpkin-cream-cheese-bars,Swirled Pumpkin-Cream Cheese Bars,keep,ok,0,8,10,
hf-1160904-texas-oven-roasted-beef-brisket,Texas Oven-Roasted Beef Brisket,keep,ok,0,7,10,
hf-1160924-cheesy-meximac-mexican-macaroni-cheese,Cheesy Meximac (Mexican Macaroni & Cheese),keep,ok,0,4,10,
hf-1160992-spicy-fruit-soup,Spicy Fruit Soup,keep,ok,0,5,10,
hf-1161083-quinoa-and-mushroom-stuffed-peppers,Quinoa And Mushroom Stuffed Peppers,keep,ok,0,6,10,
