id,title,verdict,reason,has_photo,step_count,ingredient_count,suspect_ingredient_names
hf-1213112-portuguese-mushroom-risotto,Portuguese Mushroom Risotto,FIX,no-photo;no-cuisine;no-description,0,6,10,
hf-1213199-basset-hound-cheesecake,Basset Hound Cheesecake,FIX,no-photo;no-cuisine;no-description,0,5,10,
hf-1213220-dad-s-delicious-brownie-mounds,Dad'S Delicious Brownie Mounds,FIX,no-photo;no-cuisine;no-description,0,5,10,
hf-1213486-mama-shirley-s-sugar-cookies,Mama Shirley'S Sugar Cookies,FIX,no-photo;no-cuisine;no-description,0,4,10,
hf-1213487-ham-and-cheese-strata,Ham And Cheese Strata,FIX,no-photo;no-cuisine;no-description,0,7,10,
hf-1213565-ground-pork-peas-and-rice-casserole,"Ground Pork, Peas, And Rice Casserole",FIX,no-photo;no-cuisine;no-description,0,8,10,
hf-1213591-weight-watchers-korean-style-grilled-flank-steak,Weight Watchers Korean-Style Grilled Flank Steak,FIX,no-photo;no-cuisine;no-description,0,8,10,
hf-1213690-french-grilled-cheese,French Grilled Cheese,FIX,no-photo;no-cuisine;no-description,0,5,10,
hf-121381-springtime-skillet-dinner,Springtime Skillet Dinner,FIX,no-photo;no-cuisine;no-description,0,5,10,
hf-1214098-penne-with-tomato-herb-cream-sauce,Penne With Tomato Herb Cream Sauce,FIX,no-photo;no-cuisine;no-description,0,5,10,
hf-1214133-roasted-cauliflower-soup,Roasted Cauliflower Soup,FIX,no-photo;no-cuisine;no-description,0,4,10,
hf-1214138-easy-and-tasty-italian-meatballs,Easy And Tasty Italian Meatballs,FIX,no-photo;no-cuisine;no-description,0,8,10,
hf-1214409-amish-country-casserole,Amish Country Casserole,FIX,no-photo;no-cuisine;no-description,0,4,10,
hf-1214411-belgian-spice-speculaas-cookies,Belgian Spice (Speculaas) Cookies,FIX,no-photo;no-cuisine;no-description,0,7,10,
hf-12146-true-texas-baked-beans,True Texas Baked Beans,FIX,no-photo;no-cuisine;no-description,0,4,10,
hf-1214768-grandma-s-macaroni-and-cheese,Grandma'S Macaroni And Cheese,FIX,no-photo;no-cuisine;no-description,0,7,10,
hf-1214798-slow-cooker-stewed-tomatoes,Slow Cooker Stewed Tomatoes,FIX,no-photo;no-cuisine;no-description,0,5,10,
hf-121496-cheesy-chicken-chowder,Cheesy Chicken Chowder,FIX,no-photo;no-cuisine;no-description,0,8,10,
hf-121531-sausage-lentil-soup-yield-6-servings,Sausage Lentil Soup(Yield: 6 Servings),FIX,no-photo;no-cuisine;no-description,0,4,10,
hf-1215312-peking-style-chicken,Peking Style Chicken,FIX,no-photo;no-cuisine;no-description,0,5,10,
hf-1215406-crock-pot-herbed-chicken-and-shrimp,Crock Pot Herbed Chicken And Shrimp,FIX,no-photo;no-cuisine;no-description,0,7,10,
hf-1215411-breakfast-casserole-denver-style,Breakfast Casserole Denver Style,FIX,no-photo;no-cuisine;no-description,0,5,10,
hf-121548-quick-and-delicious-shrimp-casserole,Quick And Delicious Shrimp Casserole,FIX,no-photo;no-cuisine;no-description,0,7,10,
hf-1215597-overnight-coleslaw,Overnight Coleslaw,FIX,no-photo;no-cuisine;no-description,0,5,10,
hf-1215629-creamy-rice-pudding-bonnie-stern,Creamy Rice Pudding - Bonnie Stern,FIX,no-photo;no-cuisine;no-description,0,5,10,
hf-1215637-meat-lasagna-using-uncooked-noodles,Meat Lasagna Using Uncooked Noodles,FIX,no-photo;no-cuisine;no-description,0,8,10,
hf-1215802-spiced-beef-chickpeas-and-spinach,"Spiced Beef, Chickpeas And Spinach",FIX,no-photo;no-cuisine;no-description,0,8,10,
hf-1215833-frijoles-borrachos-mexican-drunk-beans,Frijoles Borrachos - Mexican Drunk Beans,FIX,no-photo;no-cuisine;no-description,0,7,10,
hf-1215863-super-bran-muffins,Super Bran Muffins,FIX,no-photo;no-cuisine;no-description,0,8,10,
hf-1215959-grilled-turkey-drumsticks,Grilled Turkey Drumsticks,FIX,no-photo;no-cuisine;no-description,0,8,10,
hf-1216005-gingersnap-bars,Gingersnap Bars,FIX,no-photo;no-cuisine;no-description,0,6,10,
hf-1216007-company-beef-casserole,Company Beef Casserole,FIX,no-photo;no-cuisine;no-description,0,8,10,
hf-1216053-easy-cheesy-spinach-casserole,Easy-Cheesy Spinach Casserole,FIX,range-parser-bug;no-photo;no-cuisine;no-description,0,6,10,-3 teaspoons tapioca starch (or cornstarch) [range-bug]
hf-1216111-peanut-butter-jumbos,Peanut Butter Jumbos,FIX,no-photo;no-cuisine;no-description,0,8,10,
hf-1216198-korean-bean-paste-soup-chigae,Korean Bean Paste Soup (Chigae),FIX,no-photo;no-cuisine;no-description,0,4,10,
hf-1216200-mongolian-beef-and-bok-choy,Mongolian Beef And Bok Choy,FIX,no-photo;no-cuisine;no-description,0,6,10,
hf-1216226-spaghetti-kugel,Spaghetti Kugel,FIX,no-photo;no-cuisine;no-description,0,6,10,
hf-1216248-welsh-meatballs-ffagodau-faggots,Welsh Meatballs (Ffagodau) (Faggots),FIX,no-photo;no-cuisine;no-description,0,4,10,
hf-1216488-stuffed-green-bell-peppers,Stuffed Green Bell Peppers,FIX,no-photo;no-cuisine;no-description,0,8,10,
hf-1216511-old-fashioned-oatmeal-raisin-cookies,Old-Fashioned Oatmeal Raisin Cookies,FIX,no-photo;no-cuisine;no-description,0,6,10,
hf-1216598-tomato-clam-soup,Tomato & Clam Soup,FIX,no-photo;no-cuisine;no-description,0,6,10,
hf-1216628-yummy-sticky-chicken-wings,Yummy Sticky Chicken Wings,FIX,no-photo;no-cuisine;no-description,0,5,10,
hf-1216744-mixed-greens-with-turnips-tasso,Mixed Greens With Turnips & Tasso,FIX,no-photo;no-cuisine;no-description,0,4,10,
hf-1216807-ultra-moist-chocolate-cake,Ultra Moist Chocolate Cake,FIX,no-photo;no-cuisine;no-description,0,5,10,
hf-1216877-elementary-school-chili,Elementary School Chili,FIX,no-photo;no-cuisine;no-description,0,5,10,
hf-1216899-pecan-crusted-fish,Pecan Crusted Fish,FIX,no-photo;no-cuisine;no-description,0,6,10,
hf-1216963-creamy-crock-pot-chicken-noodle-soup,Creamy Crock-Pot Chicken Noodle Soup,FIX,no-photo;no-cuisine;no-description,0,6,10,
hf-1217126-grandpa-rowand-s-canadian-pickles-sweet,Grandpa Rowand'S Canadian Pickles (Sweet),FIX,no-photo;no-cuisine;no-description,0,7,10,
hf-1217198-cream-cheese-pound-cake,Cream Cheese Pound Cake,FIX,no-photo;no-cuisine;no-description,0,8,10,
hf-1217300-julie-s-cornbread,Julie'S Cornbread,FIX,no-photo;no-cuisine;no-description,0,4,10,
hf-1217483-nordstrom-tomato-basil-soup,Nordstrom Tomato Basil Soup,FIX,no-photo;no-cuisine;no-description,0,5,10,
hf-1217485-chez-panisse-berry-cobbler,Chez Panisse Berry Cobbler,FIX,no-photo;no-cuisine;no-description,0,4,10,
hf-1217554-shrimp-and-rice-au-gratin,Shrimp  And Rice Au Gratin,FIX,no-photo;no-cuisine;no-description,0,8,10,
hf-1217831-ginger-tofu-and-noodle-soup,Ginger Tofu And Noodle Soup,FIX,no-photo;no-cuisine;no-description,0,5,10,
hf-1217907-chicken-shwarma-chawarma-lahme,Chicken Shwarma - Chawarma Lahme,FIX,no-photo;no-cuisine;no-description,0,5,10,
hf-1217987-summer-squash-crock,Summer Squash Crock,FIX,no-photo;no-cuisine;no-description,0,6,10,
hf-1218001-tiroler-cake,Tiroler Cake,FIX,no-photo;no-cuisine;no-description,0,5,10,
hf-1218054-cauliflower-fried-rice-from-skinnytaste-com,"Cauliflower ""Fried Rice"" - From Skinnytaste.Com",FIX,no-photo;no-cuisine;no-description,0,5,10,
hf-1218102-philly-cheese-and-ground-beef-casserole,Philly Cheese And Ground Beef Casserole,FIX,no-photo;no-cuisine;no-description,0,5,10,
hf-1218128-marinated-beef-brisket,Marinated Beef Brisket,FIX,range-parser-bug;no-photo;no-cuisine;no-description,0,5,10,"-5 lbs beef brisket, trimmed of most fat [range-bug]"
hf-121833-low-fat-beef-stroganoff,Low-Fat Beef Stroganoff,FIX,no-photo;no-cuisine;no-description,0,8,9,
hf-121840-half-moon-cookies,Half-Moon Cookies,FIX,no-photo;no-cuisine;no-description,0,5,9,
hf-1218555-smoked-salmon,Smoked Salmon,FIX,range-parser-bug;no-photo;no-cuisine;no-description,0,7,10,-4 lbs salmon fillets (with skin) [range-bug]
hf-1218602-jack-daniel-s-pecan-pie,Jack Daniel'S Pecan Pie,FIX,no-photo;no-cuisine;no-description,0,6,10,
hf-1218688-bbq-shrimp,Bbq Shrimp,FIX,range-parser-bug;no-photo;no-cuisine;no-description,0,4,10,-4 dashes tabasco sauce [range-bug]
hf-1218694-linzer-cookies-dorie-greenspan,Linzer Cookies (Dorie Greenspan),FIX,no-photo;no-cuisine;no-description,0,6,10,
hf-1218697-large-batch-chocolate-chip-cookies,Large Batch Chocolate Chip Cookies,FIX,no-photo;no-cuisine;no-description,0,6,10,
hf-1218803-french-sugar-cookies,French Sugar Cookies,FIX,no-photo;no-cuisine;no-description,0,4,10,
hf-1218810-chocolate-butter-tarts,Chocolate Butter Tarts,FIX,no-photo;no-cuisine;no-description,0,7,10,
hf-1218832-danish-pork-frickadeller,Danish Pork Frickadeller,FIX,no-photo;no-cuisine;no-description,0,6,10,
hf-1218922-greek-syrup-cake,Greek Syrup Cake,FIX,no-photo;no-cuisine;no-description,0,4,10,
hf-1218923-hot-and-zingy-chex-mix,Hot And Zingy Chex Mix,FIX,range-parser-bug;no-photo;no-cuisine;no-description,0,7,10,-3 teaspoons red pepper sauce [range-bug]
hf-1218941-teriyaki-sloppy-joes-3,Teriyaki Sloppy Joes 3,FIX,no-photo;no-cuisine;no-description,0,4,10,
hf-1219229-bahian-shrimp-stew,Bahian Shrimp Stew,FIX,no-photo;no-cuisine;no-description,0,6,10,
hf-1219296-kawaii-cupcakes,Kawaii Cupcakes,FIX,no-photo;no-cuisine;no-description,0,7,10,
hf-1219389-mama-s-famous-sweet-potato-pie,Mama'S Famous Sweet Potato Pie,FIX,no-photo;no-cuisine;no-description,0,7,10,
hf-1219411-healthy-italian-breadsticks-or-pizza-crust,Healthy Italian Breadsticks Or Pizza Crust,FIX,no-photo;no-cuisine;no-description,0,5,10,
hf-1219445-spicy-chicken-skewers,Spicy Chicken Skewers,FIX,no-photo;no-cuisine;no-description,0,5,10,
hf-1219500-german-chocolate-pecan-pie,German Chocolate Pecan Pie,FIX,no-photo;no-cuisine;no-description,0,7,10,
hf-1219503-peanut-butter-tassies,Peanut Butter Tassies,FIX,no-photo;no-cuisine;no-description,0,8,10,
hf-1219523-n-y-c-irish-soda-bread,N .Y. C. Irish Soda Bread,FIX,no-photo;no-cuisine;no-description,0,8,10,
hf-1219574-healthy-cornbread,Healthy Cornbread,FIX,no-photo;no-cuisine;no-description,0,4,10,
hf-1219636-the-greatest-ever-chocolate-chip-cookies,The Greatest Ever Chocolate Chip Cookies!,FIX,no-photo;no-cuisine;no-description,0,7,10,
hf-1219781-orange-chiffon-cake,Orange Chiffon Cake,FIX,no-photo;no-cuisine;no-description,0,7,10,
hf-1219884-simply-elegant-lobster-chowder,Simply Elegant Lobster Chowder,FIX,no-photo;no-cuisine;no-description,0,4,10,
hf-1219948-potato-and-kumara-salad,Potato And Kumara Salad,FIX,no-photo;no-cuisine;no-description,0,7,10,
hf-1219964-bean-and-sauerkraut-casserole,Bean And Sauerkraut Casserole,FIX,range-parser-bug;no-photo;no-cuisine;no-description,0,5,10,"-3 slices bacon, cooked and crumbled [range-bug]"
hf-1220047-red-velvet-rose-whoopie-pies,Red Velvet Rose Whoopie Pies,FIX,range-parser-bug;no-photo;no-cuisine;no-description,0,6,10,-4 tablespoons buttermilk [range-bug]
hf-1220079-cherry-chocolate-chip-muffins,Cherry Chocolate Chip Muffins,FIX,no-photo;no-cuisine;no-description,0,7,10,
hf-1220211-faolans-spiced-cranberry-orange-mead,Faolans Spiced Cranberry Orange Mead,FIX,no-photo;no-cuisine;no-description,0,5,10,
hf-122030-mushroom-meat-loaf,Mushroom Meat Loaf,FIX,no-photo;no-cuisine;no-description,0,4,10,
hf-1220364-vegan-chocolate-and-maple-baklava,Vegan Chocolate And Maple Baklava,FIX,no-photo;no-cuisine;no-description,0,6,10,
hf-1220392-spicy-black-bean-and-lentil-burgers,Spicy Black Bean And Lentil Burgers,FIX,no-photo;no-cuisine;no-description,0,6,10,
hf-1220425-butter-maple-roasted-carrots-with-garden-thyme,Butter-Maple Roasted Carrots With Garden Thyme,FIX,no-photo;no-cuisine;no-description,0,5,10,
hf-1220515-thai-green-chicken-curry-with-spaghetti,Thai Green Chicken Curry With Spaghetti,FIX,range-parser-bug;no-photo;no-cuisine;no-description,0,5,10,-2 small thai chile (optional) [range-bug]; -2 kaffir lime leaf (optional) [range-bug]
hf-1220540-speedy-lobster-bisque,Speedy Lobster Bisque,FIX,no-photo;no-cuisine;no-description,0,5,10,
hf-1220551-spicy-potato-salad,Spicy Potato Salad,FIX,no-photo;no-cuisine;no-description,0,5,10,
hf-1220572-cube-steak-with-onion-gravy,Cube Steak With Onion Gravy,FIX,no-photo;no-cuisine;no-description,0,5,10,
hf-1220650-earthquake-cake,Earthquake Cake,FIX,no-photo;no-cuisine;no-description,0,8,10,
hf-1220673-tuscan-red-clam-sauce,Tuscan Red Clam Sauce,FIX,no-photo;no-cuisine;no-description,0,6,10,
hf-122101-applesauce-oatmeal-muffins,Applesauce Oatmeal Muffins,FIX,no-photo;no-cuisine;no-description,0,5,10,
hf-122107-crazy-mixed-up-cake,Crazy Mixed Up Cake,FIX,no-photo;no-cuisine;no-description,0,5,10,
hf-1221127-nagie-lazy-pierogi,"Nagie ""Lazy"" Pierogi",FIX,no-photo;no-cuisine;no-description,0,5,10,
hf-1221213-red-potato-and-leek-soup,Red Potato And Leek Soup,FIX,no-photo;no-cuisine;no-description,0,6,10,
hf-1221217-fresh-tomato-bake,Fresh Tomato Bake,FIX,no-photo;no-cuisine;no-description,0,6,10,
hf-1221358-blue-cornbread-madeleines,Blue Cornbread Madeleines,FIX,no-photo;no-cuisine;no-description,0,4,10,
hf-1221388-mother-in-law-cake,Mother-In-Law Cake,FIX,no-photo;no-cuisine;no-description,0,8,10,
hf-1221511-butter-crunch-cookies,Butter Crunch Cookies,FIX,no-photo;no-cuisine;no-description,0,6,10,
hf-1221516-red-eye-chicken,Red Eye Chicken,FIX,no-photo;no-cuisine;no-description,0,5,10,
hf-122160-randy-s-broccoli-and-chicken-casserole,Randy'S Broccoli And Chicken Casserole,FIX,no-photo;no-cuisine;no-description,0,6,9,
hf-1221631-goop-amped-up-party-mix,Goop (Amped Up Party Mix!),FIX,no-photo;no-cuisine;no-description,0,7,10,
hf-1221721-ninja-italian-style-meatballs,Ninja Italian Style Meatballs,FIX,no-photo;no-cuisine;no-description,0,5,10,
hf-1221731-ooh-la-la-french-toast,Ooh La La French Toast,FIX,no-photo;no-cuisine;no-description,0,6,10,
hf-1221757-banana-nut-muffin-tops,Banana-Nut Muffin Tops,FIX,no-photo;no-cuisine;no-description,0,8,10,
hf-122176-donna-s-lazy-woman-s-cake,Donna'S Lazy Woman'S Cake,FIX,no-photo;no-cuisine;no-description,0,5,9,
hf-1222025-banana-bread-from-betty-crocker,Banana Bread From Betty Crocker,FIX,range-parser-bug;no-photo;no-cuisine;no-description,0,4,10,-3 medium bananas [range-bug]
hf-12221-potato-casserole,Potato Casserole,FIX,no-photo;no-cuisine;no-description,0,5,10,
hf-1222100-grilled-pineapple-lemon-chicken,Grilled Pineapple-Lemon Chicken,FIX,no-photo;no-cuisine;no-description,0,4,10,
hf-1222106-zesty-pumpkin-soup,Zesty Pumpkin Soup,FIX,no-photo;no-cuisine;no-description,0,7,10,
hf-1222140-ukrainian-tea-cookies-bublyky,Ukrainian Tea Cookies (Bublyky),FIX,no-photo;no-cuisine;no-description,0,6,10,
hf-1222147-aunt-sharon-s-best-brownies,Aunt Sharon'S Best Brownies,FIX,no-photo;no-cuisine;no-description,0,5,10,
hf-1222197-spicy-carrot-peanut-soup,Spicy Carrot Peanut Soup,FIX,no-photo;no-cuisine;no-description,0,8,10,
hf-1222375-ham-n-cheese-egg-loaf,Ham'N'Cheese Egg Loaf,FIX,no-photo;no-cuisine;no-description,0,6,10,
hf-1222472-pizza-base-gluten-free,Pizza Base (Gluten Free),FIX,no-photo;no-cuisine;no-description,0,8,10,
hf-1222558-ginger-rice,Ginger Rice,FIX,no-photo;no-cuisine;no-description,0,7,10,
hf-1222563-noel-cookies,Noel Cookies,FIX,no-photo;no-cuisine;no-description,0,6,10,
hf-1222588-butternut-squash-salad-with-curry-dressing,Butternut Squash Salad With Curry Dressing,FIX,no-photo;no-cuisine;no-description,0,4,10,
hf-1222923-pressure-cooker-chicken-cacciatore,Pressure Cooker Chicken Cacciatore,FIX,no-photo;no-cuisine;no-description,0,8,10,
hf-1222981-kumquat-pecan-bread,Kumquat Pecan Bread,FIX,no-photo;no-cuisine;no-description,0,7,10,
hf-1223024-dairy-free-brownies,Dairy Free Brownies,FIX,no-photo;no-cuisine;no-description,0,8,10,
hf-1223056-barbecued-lima-beans-and-ham,Barbecued Lima Beans And Ham,FIX,no-photo;no-cuisine;no-description,0,7,10,
hf-1223082-cheese-custard-tomato-pie,Cheese Custard Tomato Pie,FIX,no-photo;no-cuisine;no-description,0,4,10,
hf-1223165-no-bake-chocolate-coconut-cricket-bars,No-Bake Chocolate Coconut Cricket Bars,FIX,no-photo;no-cuisine;no-description,0,4,10,
hf-1223176-salmon-romanoff,Salmon Romanoff,FIX,no-photo;no-cuisine;no-description,0,7,10,
hf-1223255-not-so-guilty-chocolate-chip-oatmeal-banana-cookie,Not-So-Guilty Chocolate Chip Oatmeal Banana Cookies,FIX,no-photo;no-cuisine;no-description,0,5,10,
hf-1223289-vegan-seitan-tetrazzini,Vegan Seitan Tetrazzini,FIX,no-photo;no-cuisine;no-description,0,4,10,
hf-1223325-broccoli-stuffed-onions,Broccoli-Stuffed Onions,FIX,no-photo;no-cuisine;no-description,0,7,10,
hf-1223478-chicken-enchiladas-white-sauce-rich,Chicken Enchiladas...White Sauce...Rich!,FIX,no-photo;no-cuisine;no-description,0,8,10,
hf-1223618-barley-and-pine-nut-casserole,Barley And Pine Nut Casserole,FIX,no-photo;no-cuisine;no-description,0,4,10,
hf-1223662-vegan-cornbread,Vegan Cornbread!,FIX,no-photo;no-cuisine;no-description,0,4,10,
hf-122369-chinese-beef-and-peppers,Chinese Beef And Peppers,FIX,no-photo;no-cuisine;no-description,0,6,10,
hf-1223987-carrot-parsnip-soup,Carrot Parsnip Soup,FIX,no-photo;no-cuisine;no-description,0,4,10,
hf-1224044-hamburg-creole,Hamburg Creole,FIX,title-mismatch:pork;no-photo;no-cuisine;no-description,0,8,10,
hf-122406-swiss-enchiladas,Swiss Enchiladas,FIX,no-photo;no-cuisine;no-description,0,8,9,
hf-1224098-the-best-ever-taco-soup,The Best Ever Taco Soup,FIX,no-photo;no-cuisine;no-description,0,4,10,
hf-1224102-cajun-green-beans,Cajun Green Beans,FIX,no-photo;no-cuisine;no-description,0,6,10,
hf-1224155-light-carrot-cocoa-snack-cake-brownies,Light Carrot Cocoa Snack Cake --(Brownies),FIX,no-photo;no-cuisine;no-description,0,8,10,
hf-1224161-mushroom-onion-and-thyme-gravy,"Mushroom, Onion And Thyme Gravy",FIX,no-photo;no-cuisine;no-description,0,5,10,
hf-1224234-peppercorn-cookies,Peppercorn Cookies,FIX,no-photo;no-cuisine;no-description,0,4,10,
hf-1224269-stroganoff-style-spaghetti-and-meatballs,Stroganoff-Style Spaghetti And Meatballs,FIX,no-photo;no-cuisine;no-description,0,4,10,
