id,title,verdict,reason,has_photo,step_count,ingredient_count,suspect_ingredient_names
hf-1284563-san-francisco-pork-chops,San Francisco Pork Chops,KEEP,ok,0,7,10,
hf-1284610-paleo-easter-egg-cookies,Paleo Easter Egg Cookies,KEEP,ok,0,8,10,
hf-1284635-nutella-chocolate-biscotti,Nutella & Chocolate Biscotti,KEEP,ok,0,8,10,
hf-128484-corn-pie,Corn Pie,KEEP,ok,0,8,10,
hf-1285185-reeses-cookies,Reeses Cookies,KEEP,ok,0,5,10,
hf-12853-ann-s-cabbage-casserole,Ann'S Cabbage Casserole,KEEP,ok,0,7,9,
hf-1285322-sweet-potatoes-whipped-with-pears,Sweet Potatoes Whipped With Pears,KEEP,ok,0,4,10,
hf-1285594-spicy-walnut-raisin-pie,Spicy Walnut Raisin Pie,KEEP,ok,0,5,10,
hf-128563-banana-torte,Banana Torte,KEEP,ok,0,5,9,
hf-1285639-mushroom-barley-soup,Mushroom Barley Soup,KEEP,ok,0,5,10,
hf-1285735-cracklin-chicken,Cracklin Chicken,KEEP,ok,0,5,10,
hf-128591-hamburger-meat-doritos-casserole,Hamburger Meat Doritos Casserole,KEEP,ok,0,4,9,
hf-128596-fudge-pudding-cake,Fudge Pudding Cake,KEEP,ok,0,8,10,
hf-1286072-tofu-chipotle-potato-burrito,Tofu Chipotle Potato Burrito,KEEP,ok,0,6,10,
hf-1286230-roasted-root-vegetables,Roasted Root Vegetables,KEEP,ok,0,4,10,
hf-1286300-raspberry-cheesecake-pie,Raspberry Cheesecake Pie,KEEP,ok,0,5,10,
hf-1286322-super-bowl-stuffed-mushrooms,Super Bowl: Stuffed Mushrooms,KEEP,ok,0,8,10,
hf-1286392-orange-pecan-muffins,Orange Pecan Muffins,KEEP,ok,0,6,10,
hf-1286399-toll-house-sensibly-delicious-brownies,Toll House Sensibly Delicious Brownies,KEEP,ok,0,4,10,
hf-1286482-best-chocolate-cake,Best Chocolate Cake,KEEP,ok,0,5,10,
hf-1286497-jan-s-oatmeal-cookies,Jan'S Oatmeal Cookies,KEEP,ok,0,5,10,
hf-1286688-passover-vegetable-kugel,Passover Vegetable Kugel,KEEP,ok,0,4,10,
