id,title,verdict,reason,has_photo,step_count,ingredient_count,suspect_ingredient_names
tmdb-52974-keleya-zaara,Keleya Zaara,KEEP,ok,1,2,8,
tmdb-52975-tuna-and-egg-briks,Tuna and Egg Briks,KEEP,ok,1,7,11,
tmdb-52976-cashew-ghoriba-biscuits,Cashew Ghoriba Biscuits,KEEP,ok,1,4,6,
tmdb-52977-corba,Corba,KEEP,ok,1,7,13,
tmdb-52978-kumpir,Kumpir,KEEP,ok,1,2,6,
tmdb-52979-bitterballen-dutch-meatballs,Bitterballen (Dutch meatballs),KEEP,ok,1,4,12,
tmdb-52980-stamppot,Stamppot,KEEP,ok,1,10,10,
tmdb-52981-snert-dutch-split-pea-soup,Snert (Dutch Split Pea Soup),KEEP,ok,1,7,11,
tmdb-52982-spaghetti-alla-carbonara,Spaghetti alla Carbonara,KEEP,ok,1,12,6,
tmdb-52987-lasagna-sandwiches,Lasagna Sandwiches,KEEP,ok,1,3,9,
tmdb-52988-classic-christmas-pudding,Classic Christmas pudding,KEEP,ok,1,8,11,
tmdb-52989-christmas-pudding-trifle,Christmas Pudding Trifle,KEEP,ok,1,4,9,
tmdb-52990-christmas-cake,Christmas cake,KEEP,ok,1,3,16,
tmdb-52991-mince-pies,Mince Pies,KEEP,ok,1,8,6,
tmdb-52992-soy-glazed-meatloaves-with-wasabi-mashed-potatoes-roasted-ca,Soy-Glazed Meatloaves with Wasabi Mashed Potatoes & Roasted Carrots,KEEP,ok,0,6,11,
tmdb-52993-honey-balsamic-chicken-with-crispy-broccoli-potatoes,Honey Balsamic Chicken with Crispy Broccoli & Potatoes,KEEP,ok,1,6,10,
tmdb-52994-skillet-apple-pork-chops-with-roasted-sweet-potatoes-zucchin,Skillet Apple Pork Chops with Roasted Sweet Potatoes & Zucchini,KEEP,ok,0,6,10,
tmdb-52995-bbq-pork-sloppy-joes,BBQ Pork Sloppy Joes,KEEP,ok,1,6,13,
tmdb-52996-french-onion-chicken-with-roasted-carrots-mashed-potatoes,French Onion Chicken with Roasted Carrots & Mashed Potatoes,KEEP,ok,1,6,12,
tmdb-52997-beef-banh-mi-bowls-with-sriracha-mayo-carrot-pickled-cucumbe,"Beef Banh Mi Bowls with Sriracha Mayo, Carrot & Pickled Cucumber",KEEP,ok,0,6,8,
tmdb-52998-corned-beef-and-cabbage,Corned Beef and Cabbage,KEEP,ok,1,3,4,
tmdb-52999-crispy-sausages-and-greens,Crispy Sausages and Greens,KEEP,ok,1,2,9,
tmdb-53000-vegetable-shepherds-pie,Vegetable Shepherds Pie,KEEP,ok,1,9,19,
tmdb-53005-strawberry-rhubarb-pie,Strawberry Rhubarb Pie,KEEP,ok,1,10,14,
tmdb-53006-moussaka,Moussaka,KEEP,ok,1,2,8,
tmdb-53007-honey-yogurt-cheesecake,Honey Yogurt Cheesecake,KEEP,ok,1,3,10,
tmdb-53008-stuffed-lamb-tomatoes,Stuffed Lamb Tomatoes,KEEP,ok,1,3,13,
tmdb-53009-lamb-and-lemon-souvlaki,Lamb and Lemon Souvlaki,KEEP,ok,1,2,7,
tmdb-53010-lamb-tzatziki-burgers,Lamb Tzatziki Burgers,KEEP,ok,1,3,11,
tmdb-53011-chicken-quinoa-greek-salad,Chicken Quinoa Greek Salad,KEEP,ok,1,3,11,
tmdb-53012-gigantes-plaki,Gigantes Plaki,KEEP,ok,1,2,10,
tmdb-53013-big-mac,Big Mac,KEEP,ok,1,5,14,
tmdb-53014-pizza-express-margherita,Pizza Express Margherita,KEEP,ok,1,12,11,
tmdb-53015-krispy-kreme-donut,Krispy Kreme Donut,KEEP,ok,1,2,14,
tmdb-53016-chick-fil-a-sandwich,Chick-Fil-A Sandwich,KEEP,ok,1,9,14,
tmdb-53017-paszteciki-polish-pasties,Paszteciki (Polish Pasties),KEEP,ok,1,18,12,
tmdb-53018-bigos-hunters-stew,Bigos (Hunters Stew),KEEP,ok,1,6,20,
tmdb-53019-pierogi-polish-dumplings,Pierogi (Polish Dumplings),KEEP,ok,1,5,11,
tmdb-53020-rosol-polish-chicken-soup,Rosol (Polish Chicken Soup),KEEP,ok,1,11,13,
tmdb-53021-golabki-cabbage-roll,Golabki (cabbage roll),KEEP,ok,1,8,10,
tmdb-53022-polskie-nalesniki-polish-pancakes,Polskie Nalesniki (Polish Pancakes),KEEP,ok,1,6,7,
tmdb-53023-sledz-w-oleju-polish-herrings,Sledz w Oleju (Polish Herrings),KEEP,ok,1,5,6,
tmdb-53024-rogaliki-polish-croissant-cookies,Rogaliki (Polish Croissant Cookies),KEEP,ok,1,9,6,
tmdb-53025-ful-medames,Ful Medames,KEEP,ok,1,12,6,
tmdb-53026-tamiya,Tamiya,KEEP,ok,1,5,9,
tmdb-53027-koshari,Koshari,KEEP,ok,1,3,8,
tmdb-53028-shawarma,Shawarma,KEEP,ok,1,9,15,
tmdb-53029-mulukhiyah,Mulukhiyah,KEEP,ok,1,6,7,
tmdb-53030-feteer-meshaltet,Feteer Meshaltet,KEEP,ok,1,15,5,
tmdb-53031-egyptian-fatteh,Egyptian Fatteh,KEEP,ok,1,8,15,
tmdb-53032-tonkatsu-pork,Tonkatsu pork,KEEP,ok,1,4,9,
tmdb-53033-japanese-gohan-rice,Japanese gohan rice,KEEP,ok,1,2,4,
tmdb-53034-japanese-katsudon,Japanese Katsudon,KEEP,ok,1,2,10,
tmdb-53035-ham-hock-colcannon,Ham hock colcannon,KEEP,ok,1,4,9,
tmdb-53036-boxty-breakfast,Boxty Breakfast,KEEP,ok,1,4,11,
tmdb-53037-coddled-pork-with-cider,Coddled pork with cider,KEEP,ok,1,3,10,
tmdb-53038-mustard-champ,Mustard champ,KEEP,ok,1,3,6,
tmdb-53039-piri-piri-chicken-and-slaw,Piri-piri chicken and slaw,KEEP,ok,1,2,17,
tmdb-53040-spring-onion-and-prawn-empanadas,Spring onion and prawn empanadas,KEEP,ok,1,4,10,
tmdb-53041-grilled-portuguese-sardines,Grilled Portuguese sardines,KEEP,ok,1,2,7,
tmdb-53042-portuguese-prego-with-green-piri-piri,Portuguese prego with green piri-piri,KEEP,ok,1,4,14,
tmdb-53043-fish-fofos,Fish fofos,KEEP,ok,1,4,12,
tmdb-53044-portuguese-barbecued-pork-febras-assadas,Portuguese barbecued pork (Febras assadas),KEEP,ok,1,6,9,
tmdb-53045-portuguese-fish-stew-caldeirada-de-peixe,Portuguese fish stew (Caldeirada de peixe),KEEP,ok,1,3,16,
tmdb-53046-portuguese-custard-tarts,Portuguese custard tarts,KEEP,ok,1,9,12,
tmdb-53047-moroccan-carrot-soup,Moroccan Carrot Soup,KEEP,ok,1,7,8,
tmdb-53048-mee-goreng-mamak,Mee goreng mamak,KEEP,ok,1,7,15,
tmdb-53049-apam-balik,Apam balik,KEEP,ok,1,4,9,
tmdb-53050-ayam-percik,Ayam Percik,KEEP,ok,1,7,13,
tmdb-53051-nasi-lemak,Nasi lemak,KEEP,ok,1,5,18,
tmdb-53052-roti-john,Roti john,KEEP,ok,1,7,8,
tmdb-53053-beef-rendang,Beef Rendang,KEEP,ok,1,3,12,
tmdb-53054-seri-muka-kuih,Seri muka kuih,KEEP,ok,1,2,9,
tmdb-53055-cevapi-sausages,Cevapi Sausages,KEEP,ok,1,5,12,
tmdb-53056-croatian-lamb-peka,Croatian lamb peka,KEEP,ok,1,20,13,
tmdb-53057-traditional-croatian-goulash,Traditional Croatian Goulash,KEEP,ok,1,7,12,
tmdb-53058-croatian-bean-stew,Croatian Bean Stew,KEEP,ok,1,5,7,
tmdb-53059-mushroom-soup-with-buckwheat,Mushroom soup with buckwheat,KEEP,ok,1,5,10,
tmdb-53060-burek,Burek,KEEP,ok,1,6,6,
tmdb-53061-fresh-sardines,Fresh sardines,KEEP,ok,1,3,4,
tmdb-53062-walnut-roll-gu-vara,Walnut Roll Gužvara,KEEP,ok,1,3,13,
tmdb-53063-chivito-uruguayo,Chivito uruguayo,KEEP,ok,1,2,10,
tmdb-53064-fettuccine-alfredo,Fettuccine Alfredo,KEEP,ok,1,5,6,
tmdb-53065-sushi,Sushi,KEEP,ok,1,11,7,
tmdb-53067-stuffed-bell-peppers-with-quinoa-and-black-beans,Stuffed Bell Peppers with Quinoa and Black Beans,KEEP,ok,1,7,15,
tmdb-53068-beef-mechado,Beef Mechado,KEEP,ok,1,6,12,
tmdb-53069-bistek,Bistek,KEEP,ok,1,8,8,
tmdb-53070-beef-caldereta,Beef Caldereta,KEEP,ok,1,8,14,
tmdb-53071-beef-asado,Beef Asado,KEEP,ok,1,8,14,
tmdb-53072-crispy-eggplant,Crispy Eggplant,KEEP,ok,1,5,7,
tmdb-53073-eggplant-adobo,Eggplant Adobo,KEEP,ok,1,7,10,
tmdb-53074-grilled-eggplant-with-coconut-milk,Grilled eggplant with coconut milk,KEEP,ok,1,3,6,
tmdb-53075-tortang-talong,Tortang Talong,KEEP,ok,1,8,4,
tmdb-53076-bread-omelette,Bread omelette,DELETE,hot-dish-no-cook-step,1,1,3,
tmdb-53077-cabbage-soup-shchi,Cabbage Soup (Shchi),KEEP,ok,1,7,11,
