id,title,verdict,reason,has_photo,step_count,ingredient_count,suspect_ingredient_names
myplate-lemon-potatoes,Lemon Potatoes,KEEP,ok,1,7,4,
myplate-lemon-spinach,Lemon Spinach,KEEP,ok,1,4,3,
myplate-lemon-velvet-supreme,Lemon Velvet Supreme,KEEP,ok,1,5,4,
myplate-lemonade,Lemonade,KEEP,ok,1,5,3,
myplate-lentil-chili,Lentil Chili,KEEP,ok,1,5,7,
myplate-lentil-minestrone,Lentil Minestrone,KEEP,ok,1,4,12,
myplate-lentil-spaghetti-sauce,Lentil Spaghetti Sauce,KEEP,ok,1,5,5,
myplate-lentil-stew,Lentil Stew,KEEP,ok,1,6,8,
myplate-lentil-tacos,Lentil Tacos,KEEP,ok,1,4,10,
myplate-lickety-split-banana-split,Lickety Split Banana Split,KEEP,ok,1,4,5,
myplate-light-as-a-feather-whole-wheat-pancakes,Light as a Feather Whole Wheat Pancakes,KEEP,ok,1,5,8,
myplate-lime-marinated-flank-steak-with-stuffed-poblano-peppers,Lime-Marinated Flank Steak with Stuffed Poblano Peppers,KEEP,ok,1,7,8,
myplate-lite-italian-dressing,Lite Italian Dressing,KEEP,ok,1,4,8,
myplate-louisiana-green-beans,Louisiana Green Beans,KEEP,ok,1,8,5,
myplate-low-calorie-dressing,Low Calorie Dressing,KEEP,ok,1,3,6,
myplate-low-fat-ranch-dip,Low Fat Ranch Dip,KEEP,ok,1,5,11,
myplate-macaroni-chick-pea-soup,Macaroni Chick-Pea Soup,KEEP,ok,1,5,9,
myplate-meaty-stuffed-potatoes,Meaty Stuffed Potatoes,KEEP,ok,0,10,10,
myplate-mediterranean-chicken-and-white-bean-salad,Mediterranean Chicken and White Bean Salad,KEEP,ok,1,2,9,
myplate-mediterranean-roasted-eggplant-with-tomato-sauce,Mediterranean Roasted Eggplant with Tomato Sauce,KEEP,ok,1,9,5,
myplate-mediterranean-tuna-antipasti-salad,Mediterranean Tuna Antipasti Salad,KEEP,ok,1,4,9,
myplate-melissa-s-slow-cooker-stuffing,Melissa’s Slow Cooker Stuffing,KEEP,ok,1,5,17,
myplate-melon-and-mint,Melon and Mint,KEEP,ok,1,3,5,
myplate-microwave-baked-apple,Microwave Baked Apple,KEEP,ok,1,5,3,
myplate-microwave-cauliflower-and-peas-in-cream-sauce,Microwave Cauliflower and Peas in Cream Sauce,KEEP,ok,1,6,12,
myplate-microwave-denver-scramble-slider,Microwave Denver Scramble Slider,KEEP,ok,1,3,6,
