id,title,verdict,reason
hf-1221388-mother-in-law-cake,Mother-In-Law Cake,fix,no image
hf-1134645-butternut-squash-and-sweet-pea-casserole,Butternut Squash And Sweet Pea Casserole,fix,no image
hf-1658191-roasted-salmon-with-mango-salsa,Roasted Salmon With Mango Salsa,delete,"fraction collapsed into quantity prefix (e.g. ""34 cups"")"
hf-730173-round-steak-casserole,Round Steak Casserole,fix,no image
hf-173033-frosted-apple-cake,Frosted Apple Cake,fix,no image
hf-770077-date-nut-bars,Date Nut Bars,fix,no image
hf-65027-nicki-s-raisin-bites,Nicki'S Raisin Bites,fix,no image
hf-1982123-sugar-and-spice-apple-nut-cake,Sugar and Spice Apple Nut Cake,fix,no image
hf-173955-cauliflower-squash-soup,Cauliflower Squash Soup,fix,no image
hf-1994692-hens-with-herbs-and-bacon-recipe,Hens With Herbs And Bacon Recipe,fix,no image
hf-2076744-baked-chicken-with-herbs-recipe,Baked Chicken With Herbs Recipe,fix,no image
hf-1061162-golden-couscous,Golden Couscous,fix,no image
hf-89058-apple-slice-cake,Apple Slice Cake,fix,no image
hf-334927-rhubarb-bars,Rhubarb Bars,fix,no image
hf-88435-stuffed-mushrooms,Stuffed Mushrooms,fix,no image
hf-68858-syrup-cake,Syrup Cake,fix,no image
hf-271255-green-chili-enchiladas,Green Chili Enchiladas,fix,no image
hf-150864-easy-vegetable-pie,Easy Vegetable Pie,fix,no image
hf-19216-one-bowl-banana-cake,One Bowl Banana Cake,fix,no image
hf-1556405-baked-harvest-vegetables,Baked Harvest Vegetables,fix,no image
hf-252420-corn-chowder,Corn Chowder,fix,no image
hf-1756016-hobo-bread,Hobo Bread,delete,1 ingredient quantity looks like a dropped unicode fraction
hf-1617575-cheese-stuffed-mushrooms,Cheese-Stuffed Mushrooms,delete,3 ingredient quantity looks like a dropped unicode fraction
hf-788391-one-hundred-dollar-cake,One Hundred Dollar Cake,fix,no image
hf-252918-herbed-broccoli-salad,Herbed Broccoli Salad,fix,no image
hf-80497-egg-rolls,Egg Rolls,fix,no image
hf-1522108-refried-kidney-beans,Refried Kidney Beans,fix,no image
hf-1982924-vegan-quinoa-waldorf,Vegan Quinoa Waldorf,delete,"fraction collapsed into quantity prefix (e.g. ""34 cups"")"
hf-539111-lasagna-pizza,Lasagna Pizza,fix,no image
hf-1470456-mocha-baked-alaskas,Mocha Baked Alaskas,fix,no image
hf-1232440-snickerdoodle-bread,Snickerdoodle Bread,fix,no image
hf-34747-cabbage-lasagna,Cabbage Lasagna,fix,no image
