id,title,verdict,reason
tmdb-52896-full-english-breakfast,Full English Breakfast,keep,
tmdb-53169-ajo-blanco,Ajo blanco,keep,
tmdb-53233-salt-pepper-squid,Salt & pepper squid,keep,
tmdb-53204-red-curry-chicken-kebabs,Red curry chicken kebabs,keep,
tmdb-53328-venezuelan-shredded-beef,Venezuelan Shredded Beef,keep,
tmdb-53197-thai-pork-peanut-curry,Thai pork & peanut curry,keep,
tmdb-53154-clam-chorizo-white-bean-stew,"Clam, chorizo & white bean stew",keep,
tmdb-53318-torta-de-fiambre,Torta de fiambre,keep,
tmdb-53140-matambre-a-la-pizza,Matambre a la Pizza,keep,
tmdb-53182-spanish-seafood-rice,Spanish seafood rice,keep,
tmdb-53069-bistek,Bistek,keep,
tmdb-53252-turkish-rice-vermicelli-rice,Turkish rice (vermicelli rice),keep,
tmdb-53202-thai-style-steamed-fish,Thai-style steamed fish,keep,
tmdb-52947-ma-po-tofu,Ma Po Tofu,keep,
tmdb-52841-creamy-tomato-soup,Creamy Tomato Soup,keep,
tmdb-52989-christmas-pudding-trifle,Christmas Pudding Trifle,keep,
tmdb-52839-chilli-prawn-linguine,Chilli prawn linguine,keep,
tmdb-52875-chicken-ham-and-leek-pie,Chicken Ham and Leek Pie,keep,
tmdb-52990-christmas-cake,Christmas cake,keep,
tmdb-53033-japanese-gohan-rice,Japanese gohan rice,keep,
tmdb-52893-apple-blackberry-crumble,Apple & Blackberry Crumble,keep,
tmdb-53248-salmon-noodle-wraps,Salmon noodle wraps,keep,
tmdb-53335-jiggs-dinner,Jiggs Dinner,keep,
tmdb-53253-imam-bayildi-with-bbq-lamb-tzatziki,Imam bayildi with BBQ lamb & tzatziki,keep,
tmdb-52946-kung-po-prawns,Kung Po Prawns,keep,
tmdb-53268-roasted-chicken-with-creamy-walnut-sauce,Roasted chicken with creamy walnut sauce,keep,
tmdb-53212-thai-drumsticks,Thai drumsticks,keep,
tmdb-52880-mcsinghs-scotch-pie,McSinghs Scotch pie,keep,
tmdb-53015-krispy-kreme-donut,Krispy Kreme Donut,keep,
tmdb-52837-pilchard-puttanesca,Pilchard puttanesca,keep,
tmdb-52868-kidney-bean-curry,Kidney Bean Curry,keep,
tmdb-53162-pollo-en-pepitoria,Pollo en pepitoria,keep,
tmdb-53022-polskie-nalesniki-polish-pancakes,Polskie Nalesniki (Polish Pancakes),keep,
tmdb-52883-sticky-toffee-pudding,Sticky Toffee Pudding,keep,
tmdb-53342-figgy-duff,Figgy Duff,keep,
tmdb-53078-beetroot-soup-borscht,Beetroot Soup (Borscht),keep,
tmdb-53274-griddled-aubergines-with-sesame-dressing,Griddled aubergines with sesame dressing,keep,
tmdb-52852-tuna-nicoise,Tuna Nicoise,keep,
tmdb-53187-lance-s-makom,Šúĺlance s Makom,keep,
tmdb-53360-caribbean-tamarind-balls,Caribbean Tamarind balls,keep,
tmdb-53331-oatmeal-pancakes,Oatmeal pancakes,keep,
tmdb-53319-chivito-sandwich,Chivito sandwich,keep,
tmdb-53027-koshari,Koshari,keep,
tmdb-53240-tofu-greens-cashew-stir-fry,"Tofu, greens & cashew stir-fry",keep,
tmdb-53325-venezuelan-arepas,Venezuelan Arepas,keep,
tmdb-52804-poutine,Poutine,keep,
tmdb-53264-smoky-chicken-skewers,Smoky chicken skewers,keep,
tmdb-53142-spiced-tortilla,Spiced tortilla,keep,
tmdb-53347-no-churn-rum-raisin-ice-cream,No-Churn Rum Raisin Ice Cream,keep,
tmdb-52948-wontons,Wontons,keep,
tmdb-53227-rice-paper-dumplings,Rice paper dumplings,keep,
tmdb-53039-piri-piri-chicken-and-slaw,Piri-piri chicken and slaw,keep,
tmdb-53054-seri-muka-kuih,Seri muka kuih,keep,
tmdb-53199-thai-beef-stir-fry,Thai beef stir-fry,keep,
tmdb-53311-borsch,Borsch,keep,
tmdb-52764-garides-saganaki,Garides Saganaki,keep,
tmdb-53373-air-fryer-egg-rolls,Air Fryer Egg Rolls,keep,
tmdb-53037-coddled-pork-with-cider,Coddled pork with cider,keep,
tmdb-52958-peanut-butter-cookies,Peanut Butter Cookies,keep,
tmdb-52995-bbq-pork-sloppy-joes,BBQ Pork Sloppy Joes,keep,
tmdb-53251-turkish-lahmacun,Turkish lahmacun,keep,
tmdb-53031-egyptian-fatteh,Egyptian Fatteh,keep,
tmdb-52941-red-peas-soup,Red Peas Soup,keep,
tmdb-53343-classic-tourti-re,Classic Tourtière,keep,
tmdb-52783-rigatoni-with-fennel-sausage-sauce,Rigatoni with fennel sausage sauce,keep,
tmdb-53067-stuffed-bell-peppers-with-quinoa-and-black-beans,Stuffed Bell Peppers with Quinoa and Black Beans,keep,
tmdb-53200-prawn-stir-fry,Prawn stir-fry,keep,
tmdb-53175-spanish-style-slow-cooked-lamb-shoulder-beans,Spanish-style slow-cooked lamb shoulder & beans,keep,
tmdb-52872-spanish-tortilla,Spanish Tortilla,keep,
tmdb-53242-barbecue-pork-buns,Barbecue pork buns,keep,
tmdb-52765-chicken-enchilada-casserole,Chicken Enchilada Casserole,keep,
tmdb-53218-chicken-shawarma-with-homemade-garlic-herb-yoghurt-sauce,Chicken Shawarma with homemade garlic herb yoghurt sauce,keep,
tmdb-53051-nasi-lemak,Nasi lemak,keep,
tmdb-53301-pork-sauerkraut-goulash,Pork & sauerkraut goulash,keep,
tmdb-52869-tahini-lentils,Tahini Lentils,keep,
tmdb-52972-tunisian-lamb-soup,Tunisian Lamb Soup,keep,
tmdb-53010-lamb-tzatziki-burgers,Lamb Tzatziki Burgers,keep,
tmdb-53322-flan,Flan,keep,
tmdb-53293-pistachio-cake,Pistachio cake,keep,
tmdb-53186-chicken-with-saffron-raisins-pine-nuts,"Chicken with saffron, raisins & pine nuts",keep,
tmdb-53269-hummus,Hummus,keep,
tmdb-52824-beef-sunday-roast,Beef Sunday Roast,keep,
tmdb-52982-spaghetti-alla-carbonara,Spaghetti alla Carbonara,keep,
tmdb-53056-croatian-lamb-peka,Croatian lamb peka,keep,
tmdb-52830-crock-pot-chicken-baked-tacos,Crock Pot Chicken Baked Tacos,keep,
tmdb-53372-chinese-tomato-egg-stir-fry,Chinese Tomato Egg Stir Fry,keep,
tmdb-52935-steak-diane,Steak Diane,keep,
tmdb-52795-chicken-handi,Chicken Handi,keep,
tmdb-52794-vegan-chocolate-cake,Vegan Chocolate Cake,keep,
tmdb-52910-chinon-apple-tarts,Chinon Apple Tarts,keep,
tmdb-52917-white-chocolate-creme-brulee,White chocolate creme brulee,keep,
tmdb-53042-portuguese-prego-with-green-piri-piri,Portuguese prego with green piri-piri,keep,
tmdb-53324-chocolate-empanadas,Chocolate empanadas,keep,
tmdb-53100-blueberry-lemon-friands,Blueberry & lemon friands,keep,
tmdb-53365-chinese-orange-chicken,Chinese Orange Chicken,keep,
tmdb-53167-seafood-rice,Seafood rice,keep,
tmdb-52814-thai-green-curry,Thai Green Curry,keep,
tmdb-53012-gigantes-plaki,Gigantes Plaki,keep,
tmdb-52998-corned-beef-and-cabbage,Corned Beef and Cabbage,keep,
tmdb-52919-fennel-dauphinoise,Fennel Dauphinoise,keep,
tmdb-53306-pork-rib-bortsch,Pork rib bortsch,keep,
tmdb-52784-smoky-lentil-chili-with-squash,Smoky Lentil Chili with Squash,keep,
tmdb-52859-key-lime-pie,Key Lime Pie,keep,
tmdb-53258-hot-cumin-lamb-wrap-with-crunchy-slaw-spicy-mayo,Hot cumin lamb wrap with crunchy slaw & spicy mayo,keep,
tmdb-53106-warm-roast-asparagus-salad,Warm roast asparagus salad,keep,
tmdb-53368-singapore-noodles-with-shrimp,Singapore Noodles with Shrimp,keep,
