id,title,verdict,reason
myplate-rice-pudding,Rice Pudding,keep,
myplate-garden-frittata,Garden Frittata,keep,
myplate-lemon-velvet-supreme,Lemon Velvet Supreme,keep,
myplate-curtido-salvadore-o-cabbage-salad,Curtido Salvadoreño (Cabbage Salad),keep,
myplate-fruit-crisp,Fruit Crisp,keep,
myplate-fiesta-lettuce-wraps-and-pepper-boats,Fiesta Lettuce Wraps and Pepper Boats,keep,
myplate-red-monster-smoothie,Red Monster Smoothie,fix,no image
myplate-beef-and-vegetable-soup,Beef and Vegetable Soup,keep,
myplate-pupusas-revueltas,Pupusas Revueltas,keep,
myplate-delicious-greens,Delicious Greens,keep,
myplate-seasoned-roasted-vegetables,Seasoned Roasted Vegetables,keep,
myplate-beef-pot-roast,Beef Pot Roast,keep,
myplate-autumn-vegetable-succotash,Autumn Vegetable Succotash,keep,
myplate-picadillo,Picadillo,keep,
myplate-low-calorie-dressing,Low Calorie Dressing,keep,
myplate-chickpeas-and-spinach-saut,Chickpeas and Spinach Sauté,keep,
myplate-beef-and-bean-chile-verde,Beef and Bean Chile Verde,keep,
myplate-pasta-with-vegetables,Pasta with Vegetables,keep,
myplate-savory-bread-pudding-with-kale-and-butternut-squash,Savory Bread Pudding with Kale and Butternut Squash,keep,
myplate-eagle-nest,Eagle Nest,keep,
myplate-popping-pomegranate-salsa,Popping Pomegranate Salsa,keep,
myplate-pork-loin-roast-with-veggies,Pork Loin Roast with Veggies,keep,
myplate-strawberry-s-mores,Strawberry S'Mores,keep,
myplate-potato-skins-with-buffalo-chicken,Potato Skins with Buffalo Chicken,keep,
myplate-bean-and-rice-burritos,Bean and Rice Burritos,keep,
myplate-pasta-frittata-with-peas,Pasta Frittata with Peas,keep,
myplate-spicy-carrots-and-squash,Spicy Carrots and Squash,keep,
myplate-garlic-ginger-ramen-with-beef,Garlic Ginger Ramen with Beef,keep,
myplate-quick-and-easy-pizza,Quick and Easy Pizza,keep,
myplate-snappy-rice-dish,Snappy Rice Dish,keep,
myplate-black-bean-and-rice-salad,Black Bean and Rice Salad,keep,
myplate-mediterranean-chicken-and-white-bean-salad,Mediterranean Chicken and White Bean Salad,keep,
myplate-roasted-cauliflower,Roasted Cauliflower,keep,
myplate-chicken-casserole,Chicken Casserole,keep,
myplate-smoky-mustard-maple-salmon,Smoky Mustard-Maple Salmon,keep,
myplate-four-layer-casserole,Four Layer Casserole,fix,no image
myplate-cookie-cutter-appetizers,Cookie Cutter Appetizers,fix,no image
myplate-sweet-potato-harvest-salad,Sweet Potato Harvest Salad,keep,
myplate-red-potato-and-cabbage-colcannon,Red Potato and Cabbage (Colcannon),keep,
myplate-pumpkin-chili,Pumpkin Chili,keep,
myplate-parmesan-chive-biscuits,Parmesan Chive Biscuits,keep,
myplate-squash-squares,Squash Squares,keep,
myplate-basic-steamed-collards,Basic Steamed Collards,keep,
myplate-pineapple-angel-food-cake,Pineapple Angel Food Cake,keep,
myplate-lentil-stew,Lentil Stew,keep,
myplate-chicken-salad-with-ramen-noodles,Chicken Salad with Ramen Noodles,keep,
myplate-avocado-breakfast-bruschetta,Avocado Breakfast Bruschetta,keep,
myplate-delicious-tacos,Delicious Tacos,fix,no image
myplate-chicken-and-broccoli-bake,Chicken and Broccoli Bake,keep,
myplate-corn-and-bean-medley,Corn and Bean Medley,fix,no image
myplate-quick-black-bean-salad,Quick Black Bean Salad,keep,
