id,title,verdict,reason
wb-easy-chili,Easy Chili,fix,no image
wb-spaghetti-with-meat-sauce-naporitan,Spaghetti with Meat Sauce (Naporitan),fix,no image
wb-zalabiyeh-sweet-fritters-ii,Zalabiyeh (Sweet Fritters) II,fix,no image
wb-not-quite-eggs-benedict,Not Quite Eggs Benedict,fix,no image
wb-beef-tongue-with-chiles-corn-and-tomato-lengua-de-res,"Beef Tongue with Chiles, Corn and Tomato (Lengua de Res)",fix,no image
wb-egg-casserole,Egg Casserole,fix,no image
wb-beer-and-rye-bread-porridge-llebr-d,Beer and Rye Bread Porridge (Øllebrød),fix,no image
wb-coleslaw-i,Coleslaw I,keep,
wb-rib-rub,Rib Rub,fix,no image
wb-dud-patti-milk-tea,Dud Patti (Milk Tea),fix,no image
wb-brazilian-shrimp-and-cassava-sauce-bob-de-camarao,Brazilian Shrimp and Cassava Sauce (Bobó de Camarao),fix,no image
wb-egyptian-meatballs-kofta,Egyptian Meatballs (Kofta),fix,no image
wb-yogurt-curry-soup-kadhi,Yogurt Curry Soup (Kadhi),fix,no image
wb-blueberry-cream-pie,Blueberry Cream Pie,fix,no image
wb-zambian-beans-and-rice,Zambian Beans and Rice,fix,no image
wb-quick-guacamole-ii,Quick Guacamole II,fix,no image
wb-apple-raisin-oat-muffins,Apple Raisin Oat Muffins,fix,no image
wb-plain-bagels,Plain Bagels,fix,no image
wb-tahini-cookies,Tahini Cookies,fix,no image
wb-banana-chip-muffins,Banana Chip Muffins,keep,
wb-cappelletti-pasta-soup-cappelletti-in-brodo,Cappelletti Pasta Soup (Cappelletti in Brodo),fix,no image
wb-sambal-tempoyak-anchovies-with-fermented-durian-chili-paste,Sambal Tempoyak (Anchovies with Fermented Durian Chili Paste),fix,no image
wb-risotto-alla-milanese,Risotto alla Milanese,fix,no image
wb-tamina-algerian-semolina-honey-dessert,Tamina (Algerian Semolina Honey Dessert),delete,no instructions; no image
wb-tabbouleh-i,Tabbouleh I,fix,no image
wb-rice-in-fish-broth-sayyadieh,Rice in Fish Broth (Sayyadieh),fix,no image
wb-blackened-sirloin,Blackened Sirloin,fix,no image
wb-banga-soup,Banga Soup,fix,no image
wb-chicken-barbecue-sauce,Chicken Barbecue Sauce,fix,no image
wb-tomatoes-with-chile-and-onion-baladho,Tomatoes with Chile and Onion (Baladho),fix,no image
wb-chicken-pot-pie-ii,Chicken Pot Pie II,fix,no image
wb-kheer-rice-pudding,Kheer (Rice Pudding),keep,
wb-cherry-brownies,Cherry Brownies,fix,no image
wb-sausage-egg-breakfast-dish,Sausage-Egg Breakfast Dish,fix,no image
wb-pita,Pita,keep,
wb-african-salad-ii,African Salad II,fix,no image
wb-cornmeal-fried-morels,Cornmeal Fried Morels,fix,no image
wb-chicken-mull,Chicken Mull,fix,no image
wb-cornbread-ii,Cornbread II,fix,no image
wb-isombe-na-kariyo-cassava-leaves-with-pumpkin,Isombe na Kariyo (Cassava Leaves with Pumpkin),fix,no image
wb-ratatouille-i,Ratatouille I,keep,
wb-peruvian-molded-rice-arroz-tapado,Peruvian Molded Rice (Arroz Tapado),fix,no image
wb-oatmeal-stout-brownies,Oatmeal Stout Brownies,fix,no image
wb-quiche-lorraine,Quiche Lorraine,keep,
wb-rice-and-peas-risi-e-bisi,Rice and Peas (Risi e Bisi),fix,no image
wb-mini-english-muffin-pizzas,Mini English Muffin Pizzas,fix,no image
wb-asian-grilled-duck-breasts,Asian Grilled Duck Breasts,fix,no image
wb-kiwi-and-asian-pear-in-lemon-dressing,Kiwi and Asian Pear in Lemon Dressing,fix,no image
wb-simple-buttercream,Simple Buttercream,fix,no image
wb-asun-goat-in-pepper-sauce,Asun (Goat in Pepper Sauce),fix,no image
wb-christmas-cinnamon-cookies,Christmas Cinnamon Cookies,fix,no image
wb-chicken-parmesan,Chicken Parmesan,fix,no image
wb-irish-potatoes,Irish Potatoes,fix,no image
wb-apple-pie-ii,Apple Pie II,fix,no image
wb-mexican-tomato-soup,Mexican Tomato Soup,keep,
wb-cassava-pone,Cassava Pone,fix,no image
wb-eel-chowder,Eel Chowder,fix,no image
wb-biscuits-and-gravy,Biscuits and Gravy,fix,no image
wb-chicken-la-king,Chicken à la King,keep,
wb-f-rik-l-norwegian-lamb-and-cabbage-stew,Fårikål (Norwegian Lamb and Cabbage Stew),fix,no image
wb-shrimp-hooman-goan-shrimp-curry,Shrimp Hooman (Goan Shrimp Curry),fix,no image
wb-fruit-ice-pops,Fruit Ice Pops,fix,no image
wb-nut-roast,Nut Roast,keep,
wb-fruity-white-sangria,Fruity White Sangria,fix,no image
wb-pear-cranberry-crisp,Pear-Cranberry Crisp,fix,no image
wb-ifisashi-n-ubwoko-rwandan-peanut-spinach-stew-with-mushroom,Ifisashi n'Ubwoko (Rwandan Peanut Spinach Stew with Mushroom),fix,no image
wb-soy-mustard-lamb-chops,Soy Mustard Lamb Chops,fix,no image
wb-chili-with-meat,Chili with Meat,keep,
wb-deep-fried-wheat-and-chickpea-flour-dough-balls-muthiya,Deep Fried Wheat and Chickpea Flour Dough Balls (Muthiya),fix,no image
wb-strawberry-frozen-yogurt,Strawberry Frozen Yogurt,fix,no image
wb-bizcochito-cinnamon-anise-cookies-i,Bizcochito (Cinnamon Anise Cookies) I,fix,no image
wb-ricotta-lasagne,Ricotta Lasagne,fix,no image
wb-thumbprint-jam-cookies,Thumbprint Jam Cookies,fix,no image
wb-seafood-marinade,Seafood Marinade,fix,no image
wb-pickled-oysters,Pickled Oysters,fix,no image
wb-ginger-tea,Ginger Tea,fix,no image
wb-keralan-vegetable-stew,Keralan Vegetable Stew,fix,no image
wb-almond-cake,Almond Cake,keep,
wb-pezzetti-di-cavallo-italian-horse-and-tomato,Pezzetti di Cavallo (Italian Horse and Tomato),fix,no image
wb-mesquite-chicken-wraps,Mesquite Chicken Wraps,fix,no image
wb-hush-puppies,Hush Puppies,fix,no image
wb-spaghetti-alla-puttanesca,Spaghetti alla Puttanesca,keep,
wb-chicken-tikka-masala,Chicken Tikka Masala,keep,
