slug,category,style,error
nav_culinary,nav,icon,"HTTP 400: {   "error": {     "code": 400      "message": "Imagen 3 is only available on paid plans. Please upgrade your account at https://ai.dev/projects."      "status": "INVALID_ARGUMENT"   } } "
nav_feed,nav,icon,"HTTP 400: {   "error": {     "code": 400      "message": "Imagen 3 is only available on paid plans. Please upgrade your account at https://ai.dev/projects."      "status": "INVALID_ARGUMENT"   } } "
nav_you,nav,icon,"HTTP 400: {   "error": {     "code": 400      "message": "Imagen 3 is only available on paid plans. Please upgrade your account at https://ai.dev/projects."      "status": "INVALID_ARGUMENT"   } } "
nav_mixology,nav,icon,"HTTP 400: {   "error": {     "code": 400      "message": "Imagen 3 is only available on paid plans. Please upgrade your account at https://ai.dev/projects."      "status": "INVALID_ARGUMENT"   } } "
nav_snap_bar,nav,icon,"HTTP 400: {   "error": {     "code": 400      "message": "Imagen 3 is only available on paid plans. Please upgrade your account at https://ai.dev/projects."      "status": "INVALID_ARGUMENT"   } } "
nav_shop,nav,icon,"HTTP 400: {   "error": {     "code": 400      "message": "Imagen 3 is only available on paid plans. Please upgrade your account at https://ai.dev/projects."      "status": "INVALID_ARGUMENT"   } } "
nav_plan,nav,icon,"HTTP 400: {   "error": {     "code": 400      "message": "Imagen 3 is only available on paid plans. Please upgrade your account at https://ai.dev/projects."      "status": "INVALID_ARGUMENT"   } } "
nav_pantry,nav,icon,"HTTP 400: {   "error": {     "code": 400      "message": "Imagen 3 is only available on paid plans. Please upgrade your account at https://ai.dev/projects."      "status": "INVALID_ARGUMENT"   } } "
nav_saved,nav,icon,"HTTP 400: {   "error": {     "code": 400      "message": "Imagen 3 is only available on paid plans. Please upgrade your account at https://ai.dev/projects."      "status": "INVALID_ARGUMENT"   } } "
nav_search,nav,icon,"HTTP 400: {   "error": {     "code": 400      "message": "Imagen 3 is only available on paid plans. Please upgrade your account at https://ai.dev/projects."      "status": "INVALID_ARGUMENT"   } } "
nav_culinary,nav,icon,"HTTP 400: {   "error": {     "code": 400      "message": "Imagen 3 is only available on paid plans. Please upgrade your account at https://ai.dev/projects."      "status": "INVALID_ARGUMENT"   } } "
nav_feed,nav,icon,"HTTP 400: {   "error": {     "code": 400      "message": "Imagen 3 is only available on paid plans. Please upgrade your account at https://ai.dev/projects."      "status": "INVALID_ARGUMENT"   } } "
nav_you,nav,icon,"HTTP 400: {   "error": {     "code": 400      "message": "Imagen 3 is only available on paid plans. Please upgrade your account at https://ai.dev/projects."      "status": "INVALID_ARGUMENT"   } } "
nav_mixology,nav,icon,"HTTP 400: {   "error": {     "code": 400      "message": "Imagen 3 is only available on paid plans. Please upgrade your account at https://ai.dev/projects."      "status": "INVALID_ARGUMENT"   } } "
nav_snap_bar,nav,icon,"HTTP 400: {   "error": {     "code": 400      "message": "Imagen 3 is only available on paid plans. Please upgrade your account at https://ai.dev/projects."      "status": "INVALID_ARGUMENT"   } } "
nav_shop,nav,icon,"HTTP 400: {   "error": {     "code": 400      "message": "Imagen 3 is only available on paid plans. Please upgrade your account at https://ai.dev/projects."      "status": "INVALID_ARGUMENT"   } } "
nav_plan,nav,icon,"HTTP 400: {   "error": {     "code": 400      "message": "Imagen 3 is only available on paid plans. Please upgrade your account at https://ai.dev/projects."      "status": "INVALID_ARGUMENT"   } } "
nav_pantry,nav,icon,"HTTP 400: {   "error": {     "code": 400      "message": "Imagen 3 is only available on paid plans. Please upgrade your account at https://ai.dev/projects."      "status": "INVALID_ARGUMENT"   } } "
nav_saved,nav,icon,"HTTP 400: {   "error": {     "code": 400      "message": "Imagen 3 is only available on paid plans. Please upgrade your account at https://ai.dev/projects."      "status": "INVALID_ARGUMENT"   } } "
nav_search,nav,icon,"HTTP 400: {   "error": {     "code": 400      "message": "Imagen 3 is only available on paid plans. Please upgrade your account at https://ai.dev/projects."      "status": "INVALID_ARGUMENT"   } } "
nav_culinary,nav,icon,"ENOENT: no such file or directory  open 'C:\Users\12566\Downloads\pantrie-build (1)\pantrie-build\image_assets\brimm\nav\nav_culinary.png'"
nav_feed,nav,icon,"ENOENT: no such file or directory  open 'C:\Users\12566\Downloads\pantrie-build (1)\pantrie-build\image_assets\brimm\nav\nav_feed.png'"
nav_you,nav,icon,"ENOENT: no such file or directory  open 'C:\Users\12566\Downloads\pantrie-build (1)\pantrie-build\image_assets\brimm\nav\nav_you.png'"
nav_mixology,nav,icon,"ENOENT: no such file or directory  open 'C:\Users\12566\Downloads\pantrie-build (1)\pantrie-build\image_assets\brimm\nav\nav_mixology.png'"
nav_snap_bar,nav,icon,"ENOENT: no such file or directory  open 'C:\Users\12566\Downloads\pantrie-build (1)\pantrie-build\image_assets\brimm\nav\nav_snap_bar.png'"
nav_shop,nav,icon,"ENOENT: no such file or directory  open 'C:\Users\12566\Downloads\pantrie-build (1)\pantrie-build\image_assets\brimm\nav\nav_shop.png'"
nav_plan,nav,icon,"ENOENT: no such file or directory  open 'C:\Users\12566\Downloads\pantrie-build (1)\pantrie-build\image_assets\brimm\nav\nav_plan.png'"
nav_pantry,nav,icon,"ENOENT: no such file or directory  open 'C:\Users\12566\Downloads\pantrie-build (1)\pantrie-build\image_assets\brimm\nav\nav_pantry.png'"
nav_saved,nav,icon,"ENOENT: no such file or directory  open 'C:\Users\12566\Downloads\pantrie-build (1)\pantrie-build\image_assets\brimm\nav\nav_saved.png'"
nav_search,nav,icon,"ENOENT: no such file or directory  open 'C:\Users\12566\Downloads\pantrie-build (1)\pantrie-build\image_assets\brimm\nav\nav_search.png'"
